warehouse_source,country,category,subcategory,records,buyers,median_estimated_value,median_bidders,one_bidder_rows
Germany,Germany,Other,UNKNOWN,550232,20245,376000.0,,0
Quebec,Canada - Quebec,Other,UNKNOWN,135766,1800,347399.0,1.0,89203
France,France,Other,Services,116443,27643,25000.0,,0
TED,POL,Other,UNKNOWN,109691,9512,1792500.0,,0
Belgium,BE,UNKNOWN,UNKNOWN,103676,4515,,,0
TED,ESP,Other,UNKNOWN,92659,7942,854858.5,,0
France,France,Other,Travaux,72695,20065,11100.0,,0
United Kingdom,United Kingdom,Other,UNKNOWN,65583,3686,895000.0,,0
TED,ITA,Other,UNKNOWN,61448,10839,1374284.69,,0
France,France,Other,Fournitures,54656,14086,,,0
TenderNed,Netherlands,Other,UNKNOWN,37329,1614,330000.0,,0
TED,CZE,Other,UNKNOWN,35010,3013,9000000.0,,0
Germany,Germany,Automation / software,Software / automation,34670,2938,300000.0,,0
TED,BGR,Other,UNKNOWN,33909,1792,219000.0,,0
TED,SWE,Other,UNKNOWN,32027,1491,10000000.0,,0
TED,ROU,Other,UNKNOWN,29904,2960,2576722.9400000004,,0
TED,PRT,Other,UNKNOWN,25967,2334,467052.36,,0
TED,PL,Other,UNKNOWN,21918,5121,1534282.0,,0
TED,FIN,Other,UNKNOWN,21787,1519,1000000.0,,0
TED,LVA,Other,UNKNOWN,21501,573,2500000.0,,0
TED,LTU,Other,UNKNOWN,21315,755,37322.725,,0
TED,AUT,Other,UNKNOWN,19232,2019,925000.0,,0
France,France,Monitoring / research,Monitoring / analysis,17296,7052,22000.0,,0
TED,NOR,Other,UNKNOWN,15788,1336,13930000.0,,0
Germany,Germany,Automation / software,IT services / software,15446,2220,492700.0,,0
TED,CHE,Other,UNKNOWN,15273,3936,1290000.0,,0
Quebec,Canada - Quebec,Creative / communications,Design / publishing,15126,807,347399.0,1.0,11840
TED,ES,Other,UNKNOWN,14026,3137,607701.99,,0
Germany,Germany,Language,Translation / transcription,12869,162,639234.0,,0
TED,GRC,Other,UNKNOWN,11903,1973,537658.95,,0
France,France,Creative / communications,Design / publishing,11869,5768,10000.0,,0
TED,HUN,Other,UNKNOWN,11605,1259,180522200.5,,0
TED,DNK,Other,UNKNOWN,11164,1482,16000000.0,,0
TED,CZ,Other,UNKNOWN,11157,1410,7668067.88,,0
Germany,Germany,Creative / communications,Design / publishing,10829,2303,750000.0,,0
TED,BG,Other,UNKNOWN,10648,1133,150000.0,,0
TED,IT,Other,UNKNOWN,10240,3331,1264500.0,,0
TED,ESP,Automation / software,IT services / software,9568,1615,808792.98,,0
TED,SVN,Other,UNKNOWN,9515,1052,493826.0,,0
TED,HRV,Other,UNKNOWN,9234,1067,580000.0,,0
Quebec,Canada - Quebec,Automation / software,Software / automation,7878,553,334399.0,1.0,6258
TED,SVK,Other,UNKNOWN,7623,837,739433.0,,0
TED,RO,Other,UNKNOWN,7119,1571,2446119.0,,0
Germany,Germany,Monitoring / research,Monitoring / analysis,7002,1428,362085.1,,0
TED,EST,Other,UNKNOWN,6842,354,460000.0,,0
TED,POL,Automation / software,IT services / software,5713,1119,1808552.45,,0
TED,POL,Automation / software,Software / automation,5693,1475,1600000.0,,0
United Kingdom,United Kingdom,Other,Health services,5531,644,1469281.5,,0
United Kingdom,United Kingdom,Other,Transport services (excl. Waste transport),5103,159,5000000.0,,0
TenderNed,Netherlands,Automation / software,Software / automation,4808,788,414768.5,,0
Germany,Germany,Document / data,Digitization / OCR,4661,1046,350000.0,,0
TED,SE,Other,UNKNOWN,4591,811,9000000.0,,0
TED,PT,Other,UNKNOWN,4287,825,444527.375,,0
United Kingdom,United Kingdom,Automation / software,Software / automation,4125,1422,900000.0,,0
France,France,Automation / software,Software / automation,4073,2253,,,0
TED,LUX,Other,UNKNOWN,3918,652,1084250.0,,0
TED,GR,Other,UNKNOWN,3851,1055,432558.065,,0
Quebec,Canada - Quebec,Monitoring / research,Monitoring / analysis,3717,698,353299.0,1.0,2699
TED,LT,Other,UNKNOWN,3549,263,132460.635,,0
TED,MLT,Other,UNKNOWN,3454,164,273714.0,,0
TED,SWE,Automation / software,IT services / software,3265,663,6000000.0,,0
TED,CYP,Other,UNKNOWN,3262,315,290000.0,,0
United Kingdom,United Kingdom,Other,Health and social work services,3175,563,2000000.0,,0
TED,ESP,Automation / software,Software / automation,3093,996,727114.085,,0
TED,AT,Other,UNKNOWN,3022,648,639932.0,,0
TED,ROU,Automation / software,Software / automation,2933,990,2231739.73,,0
TED,CZE,Automation / software,IT services / software,2732,521,9917355.0,,0
TenderNed,Netherlands,Monitoring / research,Monitoring / analysis,2666,460,362880.0,,0
TED,PRT,Automation / software,IT services / software,2655,496,499000.0,,0
TED,LTU,Automation / software,IT services / software,2535,247,95000.0,,0
United Kingdom,United Kingdom,Other,Social work and related services,2503,145,2500000.0,,0
TED,MKD,Other,UNKNOWN,2463,425,15269832.2,,0
France,France,Printing,Print / routing,2423,1712,,,0
TED,NOR,Creative / communications,Design / publishing,2420,586,20000000.0,,0
TED,LV,Other,UNKNOWN,2393,248,180000.0,,0
United Kingdom,United Kingdom,Creative / communications,Design / publishing,2322,929,2017062.5,,0
TED,FIN,Automation / software,IT services / software,2248,376,1000000.0,,0
TED,ITA,Automation / software,IT services / software,2230,891,1127000.0,,0
TenderNed,Netherlands,Creative / communications,Design / publishing,2221,464,446173.5,,0
TenderNed,Netherlands,Automation / software,IT services / software,2211,598,665558.0,,0
Canada federal,Canada,Web,Website / CMS,2204,165,,,0
TED,HR,Other,UNKNOWN,2192,472,480000.0,,0
TED,SI,Other,UNKNOWN,2001,533,425655.12,,0
TED,CZE,Automation / software,Software / automation,1985,568,8551900.0,,0
France,France,Other,UNKNOWN,1985,1199,,,0
TED,FI,Other,UNKNOWN,1909,488,562020.0,,0
TED,DK,Other,UNKNOWN,1884,552,13070000.0,,0
United Kingdom,United Kingdom,Automation / software,IT services / software,1840,831,550000.0,,0
TED,HU,Other,UNKNOWN,1821,535,97183352.0,,0
TED,POL,Monitoring / research,Monitoring / analysis,1795,777,1097313.625,,0
TED,NO,Other,UNKNOWN,1764,440,10000000.0,,0
TED,ITA,Automation / software,Software / automation,1730,838,894338.6599999999,,0
TED,NOR,Automation / software,IT services / software,1629,430,10000000.0,,0
United Kingdom,United Kingdom,Web,Website / CMS,1587,754,498960.0,,0
United Kingdom,United Kingdom,Other,Construction work,1566,668,8050250.0,,0
Germany,Germany,Web,Website / CMS,1523,396,675000.0,,0
Germany,Germany,Printing,Print / routing,1505,350,972000.0,,0
Ireland,Ireland,Other,Construction work.,1478,375,600000.0,,0
TED,BGR,Automation / software,IT services / software,1444,218,330000.0,,0
TED,NOR,Automation / software,Software / automation,1347,374,17650000.0,,0
TED,ES,Automation / software,IT services / software,1299,536,617696.075,,0
Ireland,Ireland,Other,School meals.,1264,1054,260000.0,,0
TED,SVN,Automation / software,IT services / software,1208,184,450000.0,,0
TED,FIN,Automation / software,Software / automation,1186,316,750000.0,,0
United Kingdom,United Kingdom,Other,Education and training services,1167,366,1130000.0,,0
Ireland,Ireland,Automation / software,IT services / software,1166,246,275000.0,,0
TED,SK,Other,UNKNOWN,1075,322,447926.63,,0
Ireland,Ireland,Automation / software,Software / automation,1054,214,400000.0,,0
TED,PRT,Automation / software,Software / automation,1007,376,604524.22,,0
TED,AUT,Automation / software,Software / automation,971,273,1000000.0,,0
TED,AUT,Automation / software,IT services / software,938,248,1070800.0,,0
TED,ISL,Other,UNKNOWN,928,76,8667676.0,,0
United Kingdom,United Kingdom,Other,Community health services,925,224,853000.0,,0
TED,LU,Other,UNKNOWN,910,231,587792.5,,0
TED,HUN,Automation / software,IT services / software,900,216,190000000.0,,0
United Kingdom,United Kingdom,Other,General-practitioner services,900,115,376543.5,,0
TED,GRC,Automation / software,IT services / software,898,435,883192.645,,0
TED,HRV,Automation / software,IT services / software,896,155,466000.0,,0
United Kingdom,United Kingdom,Other,Repair and maintenance services,895,421,1200000.0,,0
TED,LVA,Automation / software,IT services / software,886,139,,,0
TED,PL,Automation / software,IT services / software,877,372,1421479.79,,0
TED,EST,Automation / software,IT services / software,842,88,625000.0,,0
TED,DNK,Automation / software,Software / automation,837,239,17000000.0,,0
United Kingdom,United Kingdom,Monitoring / research,Monitoring / analysis,825,450,494000.0,,0
Quebec,Canada - Quebec,Language,Translation / transcription,813,135,640199.0,1.0,705
TED,ROU,Creative / communications,Design / publishing,797,393,1625005.0,,0
TED,MDA,Other,UNKNOWN,796,149,4823343.475,,0
TED,CHE,Automation / software,IT services / software,796,355,,,0
TED,ESP,Creative / communications,Design / publishing,784,422,675969.135,,0
TED,CH,Other,UNKNOWN,772,404,702618.79,,0
TED,ROU,Automation / software,IT services / software,770,342,2114264.11,,0
TED,CZ,Automation / software,IT services / software,766,229,9071789.51,,0
TED,SWE,Automation / software,Software / automation,763,279,9000000.0,,0
TenderNed,Netherlands,Web,Website / CMS,736,217,500000.0,,0
TED,CZE,Creative / communications,Design / publishing,707,318,9750000.0,,0
United Kingdom,United Kingdom,Other,Miscellaneous health services,677,116,750000.0,,0
TED,CHE,Automation / software,Software / automation,673,404,,,0
TED,POL,Creative / communications,Design / publishing,668,308,1038202.235,,0
TED,DNK,Creative / communications,Design / publishing,663,219,25000000.0,,0
TED,FIN,Creative / communications,Design / publishing,658,226,600000.0,,0
Ireland,Ireland,Other,"Architectural, construction, engineering and inspection services.",648,183,250000.0,,0
TED,ITA,Creative / communications,Design / publishing,637,357,993100.0,,0
TED,CY,Other,UNKNOWN,619,95,469365.0,,0
TED,LTU,Automation / software,Software / automation,615,155,64644.630000000005,,0
TED,MK,Other,UNKNOWN,614,195,12149151.065000001,,0
United Kingdom,United Kingdom,Other,Hire of passenger transport vehicles with driver,614,48,6000000.0,,0
Canada federal,Canada,Automation / software,Software / automation,598,126,,,0
TED,SVK,Automation / software,IT services / software,577,162,1203936.0,,0
TenderNed,Netherlands,Language,Translation / transcription,573,148,278000.0,,0
TED,HUN,Automation / software,Software / automation,550,233,180549009.0,,0
TED,RO,Automation / software,Software / automation,543,312,2202540.0,,0
TenderNed,Netherlands,Document / data,Digitization / OCR,539,167,510423.18,,0
TED,CZ,Automation / software,Software / automation,530,204,7593000.0,,0
TED,NOR,Monitoring / research,Monitoring / analysis,529,215,6400000.0,,0
Canada federal,Canada,Creative / communications,Design / publishing,525,104,,,0
TED,PL,Automation / software,Software / automation,524,313,1288500.0,,0
TED,ROU,Printing,Print / routing,517,224,4514320.0,,0
TED,PT,Automation / software,IT services / software,511,126,365025.57999999996,,0
United Kingdom,United Kingdom,Language,Translation / transcription,507,333,722872.0,,0
Quebec,Canada - Quebec,Document / data,Digitization / OCR,505,222,138999.0,1.0,277
TED,DNK,Automation / software,IT services / software,502,179,9200000.0,,0
TED,MT,Other,UNKNOWN,499,37,363893.67,,0
TED,SWE,Creative / communications,Design / publishing,482,251,7900000.0,,0
France,France,Language,Translation / transcription,425,341,,,0
TenderNed,Netherlands,Printing,Print / routing,425,242,460000.0,,0
United Kingdom,United Kingdom,Other,"Architectural, construction, engineering and inspection services",423,217,300000.0,,0
United Kingdom,United Kingdom,Other,School catering services,420,376,2099177.0,,0
TED,ESP,Language,Translation / transcription,416,217,650499.0,,0
France,France,Document / data,Digitization / OCR,415,341,,,0
TED,SE,Automation / software,IT services / software,412,233,7200000.0,,0
Canada federal,Canada,Other,*Laboratory and scientific equipment,406,42,,,0
TED,IT,Automation / software,Software / automation,404,250,695661.0,,0
TED,SVK,Automation / software,Software / automation,397,141,816620.8,,0
TED,IT,Automation / software,IT services / software,391,221,914625.0,,0
TED,BG,Automation / software,IT services / software,388,112,186249.0,,0
TED,CZE,Monitoring / research,Monitoring / analysis,383,168,11591000.0,,0
France,France,Web,Website / CMS,383,334,15000.0,,0
TED,ES,Automation / software,Software / automation,383,252,555715.0,,0
TED,NOR,Document / data,Digitization / OCR,378,152,10000000.0,,0
TED,LT,Automation / software,IT services / software,372,79,165000.0,,0
Ireland,Ireland,Other,Building construction work.,366,178,900000.0,,0
Ireland,Ireland,Other,Education and training services.,358,120,180000.0,,0
United Kingdom,United Kingdom,Other,Building construction work,354,195,9000000.0,,0
United Kingdom,United Kingdom,Other,Refuse and waste related services,353,225,1500000.0,,0
TED,LUX,Automation / software,IT services / software,351,92,5400000.0,,0
Ireland,Ireland,Other,Financial consultancy services.,338,67,350000.0,,0
