warehouse_source,country,category,subcategory,lean_fit,automation_potential,onsite_requirement,records,buyers,median_estimated_value,median_bidders
Germany,Germany,Other,UNKNOWN,15,20,UNKNOWN,550232,20245,376000.0,
Quebec,Canada - Quebec,Other,UNKNOWN,15,20,UNKNOWN,135766,1800,347399.0,1.0
France,France,Other,Services,15,20,UNKNOWN,116443,27643,25000.0,
TED,POL,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,109691,9512,1792500.0,
Belgium,BE,,,UNKNOWN,UNKNOWN,UNKNOWN,103676,4515,,
TED,ESP,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,92659,7942,854858.5,
France,France,Other,Travaux,15,20,UNKNOWN,72695,20065,11100.0,
United Kingdom,United Kingdom,Other,UNKNOWN,15,20,UNKNOWN,65583,3686,895000.0,
TED,ITA,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,61448,10839,1374284.69,
France,France,Other,Fournitures,15,20,UNKNOWN,54656,14086,,
TenderNed,Netherlands,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,37329,1614,330000.0,
TED,CZE,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,35010,3013,9000000.0,
Germany,Germany,Automation / software,Software / automation,74,74,UNKNOWN,34670,2938,300000.0,
TED,BGR,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,33909,1792,219000.0,
TED,SWE,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,32027,1491,10000000.0,
TED,ROU,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,29904,2960,2576722.9400000004,
TED,PRT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,25967,2334,467052.36,
TED,PL,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,21918,5121,1534282.0,
TED,FIN,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,21787,1519,1000000.0,
TED,LVA,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,21501,573,2500000.0,
TED,LTU,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,21315,755,37322.725,
TED,AUT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,19232,2019,925000.0,
France,France,Monitoring / research,Monitoring / analysis,70,70,UNKNOWN,17296,7052,22000.0,
TED,NOR,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,15788,1336,13930000.0,
Germany,Germany,Automation / software,IT services / software,60,60,UNKNOWN,15446,2220,492700.0,
TED,CHE,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,15273,3936,1290000.0,
Quebec,Canada - Quebec,Creative / communications,Design / publishing,82,82,UNKNOWN,15126,807,347399.0,1.0
TED,ES,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,14026,3137,607701.99,
Germany,Germany,Language,Translation / transcription,90,90,UNKNOWN,12869,162,639234.0,
TED,GRC,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,11903,1973,537658.95,
France,France,Creative / communications,Design / publishing,82,82,UNKNOWN,11869,5768,10000.0,
TED,HUN,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,11605,1259,180522200.5,
TED,DNK,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,11164,1482,16000000.0,
TED,CZ,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,11157,1410,7668067.88,
Germany,Germany,Creative / communications,Design / publishing,82,82,UNKNOWN,10829,2303,750000.0,
TED,BG,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,10648,1133,150000.0,
TED,IT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,10240,3331,1264500.0,
TED,ESP,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,9568,1615,808792.98,
TED,SVN,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,9515,1052,493826.0,
TED,HRV,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,9234,1067,580000.0,
Quebec,Canada - Quebec,Automation / software,Software / automation,74,74,UNKNOWN,7878,553,334399.0,1.0
TED,SVK,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,7623,837,739433.0,
TED,RO,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,7119,1571,2446119.0,
Germany,Germany,Monitoring / research,Monitoring / analysis,70,70,UNKNOWN,7002,1428,362085.1,
TED,EST,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,6842,354,460000.0,
TED,POL,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,5713,1119,1808552.45,
TED,POL,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,5693,1475,1600000.0,
United Kingdom,United Kingdom,Other,Health services,15,20,UNKNOWN,5531,644,1469281.5,
United Kingdom,United Kingdom,Other,Transport services (excl. Waste transport),15,20,UNKNOWN,5103,159,5000000.0,
TenderNed,Netherlands,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,4808,788,414768.5,
Germany,Germany,Document / data,Digitization / OCR,92,92,UNKNOWN,4661,1046,350000.0,
TED,SE,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,4591,811,9000000.0,
TED,PT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,4287,825,444527.375,
United Kingdom,United Kingdom,Automation / software,Software / automation,72,72,UNKNOWN,4125,1422,900000.0,
France,France,Automation / software,Software / automation,74,74,UNKNOWN,4073,2253,,
TED,LUX,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3918,652,1084250.0,
TED,GR,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3851,1055,432558.065,
Quebec,Canada - Quebec,Monitoring / research,Monitoring / analysis,70,70,UNKNOWN,3717,698,353299.0,1.0
TED,LT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3549,263,132460.635,
TED,MLT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3454,164,273714.0,
TED,SWE,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,3265,663,6000000.0,
TED,CYP,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3262,315,290000.0,
United Kingdom,United Kingdom,Other,Health and social work services,15,20,UNKNOWN,3175,563,2000000.0,
TED,ESP,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,3093,996,727114.085,
TED,AT,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,3022,648,639932.0,
TED,ROU,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,2933,990,2231739.73,
TED,CZE,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,2732,521,9917355.0,
TenderNed,Netherlands,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,2666,460,362880.0,
TED,PRT,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,2655,496,499000.0,
TED,LTU,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,2535,247,95000.0,
United Kingdom,United Kingdom,Other,Social work and related services,15,20,UNKNOWN,2503,145,2500000.0,
TED,MKD,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,2463,425,15269832.2,
France,France,Printing,Print / routing,68,68,UNKNOWN,2423,1712,,
TED,NOR,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,2420,586,20000000.0,
TED,LV,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,2393,248,180000.0,
United Kingdom,United Kingdom,Creative / communications,Design / publishing,80,80,UNKNOWN,2322,929,2017062.5,
TED,FIN,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,2248,376,1000000.0,
TED,ITA,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,2230,891,1127000.0,
TenderNed,Netherlands,Creative / communications,Design / publishing,82,UNKNOWN,UNKNOWN,2221,464,446173.5,
TenderNed,Netherlands,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,2211,598,665558.0,
Canada federal,Canada,Web,Website / CMS,85,85,UNKNOWN,2204,165,,
TED,HR,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,2192,472,480000.0,
TED,SI,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,2001,533,425655.12,
France,France,Other,UNKNOWN,15,20,UNKNOWN,1985,1199,,
TED,CZE,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,1985,568,8551900.0,
TED,FI,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,1909,488,562020.0,
TED,DK,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,1884,552,13070000.0,
United Kingdom,United Kingdom,Automation / software,IT services / software,60,60,UNKNOWN,1840,831,550000.0,
TED,HU,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,1821,535,97183352.0,
TED,POL,Monitoring / research,Monitoring / analysis,70,UNKNOWN,UNKNOWN,1795,777,1097313.625,
TED,NO,Other,UNKNOWN,20,UNKNOWN,UNKNOWN,1764,440,10000000.0,
TED,ITA,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,1730,838,894338.6599999999,
TED,NOR,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,1629,430,10000000.0,
United Kingdom,United Kingdom,Web,Website / CMS,85,85,UNKNOWN,1587,754,498960.0,
United Kingdom,United Kingdom,Other,Construction work,15,20,UNKNOWN,1566,668,8050250.0,
Germany,Germany,Web,Website / CMS,88,88,UNKNOWN,1523,396,675000.0,
Germany,Germany,Printing,Print / routing,66,66,UNKNOWN,1505,350,972000.0,
Ireland,Ireland,Other,Construction work.,15,20,UNKNOWN,1478,375,600000.0,
TED,BGR,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,1444,218,330000.0,
TED,NOR,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,1347,374,17650000.0,
TED,ES,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,1299,536,617696.075,
Ireland,Ireland,Other,School meals.,15,20,UNKNOWN,1264,1054,260000.0,
TED,SVN,Automation / software,IT services / software,60,UNKNOWN,UNKNOWN,1208,184,450000.0,
TED,FIN,Automation / software,Software / automation,74,UNKNOWN,UNKNOWN,1186,316,750000.0,
