field,nonempty,empty_or_null,coverage_pct
Category,2146871,103676,95.393298
Subcategory,2146871,103676,95.393298
Lean_Fit,2146871,103676,95.393298
Automation_Potential,1260252,990295,55.997586
Onsite_Requirement,1260252,990295,55.997586
Minimum_Turnover,1260252,990295,55.997586
References_Required,1260252,990295,55.997586
Required_Certifications,1260252,990295,55.997586
Subcontracting_Status,1260252,990295,55.997586
Threshold_Level,304756,1945791,13.541419
Award_Criteria,1260252,990295,55.997586
Price_Weight,0,2250547,0.0
Quality_Weight,0,2250547,0.0
Competition_Type,1230798,1019749,54.688838
Contract_Type,177660,2072887,7.894081
Procedure_Type,918106,1332441,40.794793
Raw_Spend_Category,564608,1685939,25.08759
Evidence_Confidence,1260252,990295,55.997586
Source_Grain_Status,1085722,1164825,48.242583
