lean_fit,automation_potential,onsite_requirement,subcontracting_status,references_required,required_certifications,records
15,20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1088393
20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,770607
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,103676
60,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,53437
74,74,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,46621
82,82,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,37824
74,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33294
70,70,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,29194
60,60,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,17286
90,90,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,14406
82,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,14054
70,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7083
72,72,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5777
92,92,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5581
85,85,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3916
88,88,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2987
80,80,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2948
68,68,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2423
92,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2318
66,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2055
90,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1994
88,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1777
66,66,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1730
60,65,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1166
