Warehouse_Source,Country,code,description,category,subcategory,lean_fit,automation_potential,records,buyers,first_date,last_date,median_estimated_value,median_bidders,one_bidder_rows
Ireland,Ireland,79000000.0,"Business services: law, marketing, consulting, recruitment, printing and security.",Other,"Business services: law, marketing, consulting, recruitment, printing and security.",15,20,115,65,2023-08-15,2026-03-26,220000.0,,0
Canada federal,Canada,*43212100 *43212105 *43230000 *80101507 *80160000 *80161604 *81112002 *86132100,"*Computer printers *Laser printers *Software *Information technology consultation services *Business administration services *Information technology IT management services *Data processing or preparation services *Training planning, facilitation and delivery services",Other,"*Computer printers *Laser printers *Software *Information technology consultation services *Business administration services *Information technology IT management services *Data processing or preparation services *Training planning, facilitation and delivery services",15,20,2,1,2024-09-23,2025-07-23,,,0
United Kingdom,United Kingdom,30100000,"Office machinery, equipment and supplies except computers, printers and furniture",Other,"Office machinery, equipment and supplies except computers, printers and furniture",15,20,18,16,2023-08-14,2026-07-28,451000000.0,,0
Ireland,Ireland,30100000.0,"Office machinery, equipment and supplies except computers, printers and furniture.",Other,"Office machinery, equipment and supplies except computers, printers and furniture.",15,20,12,11,2023-11-15,2026-02-23,550000.0,,0
Canada federal,Canada,*23153200 *23260000 *23270000 *25101900 *25111719 *25111900 *25131600 *25131705 *25131707 *25131708 *25132100 *25132101 *25132102 *25132104 *25200000 *25201603 *25201701 *25202505 *31240000 *41100000 *41112100 *41113700 *41115300 *41116100 *43200000 *43201500 *43211500 *43221700 *43221731 *43221800 *43222600 *43230000 *43231503 *43231516 *43231517 *43232200 *43232300 *43232500 *43232600 *43232605 *43233000 *43233200 *43233204 *46170000 *46171619 *78111500 *78141805 *78182000 *81102301 *81111800 *81112000 *81141900 *81141901 *81141902 *81151800 *83112200 *92110000 *92111700 *92121704,*Robotics *Rapid prototyping machinery and accessories *Welding and soldering and brazing machinery and accessories and supplies *Specialized and recreational vehicles *Submarine tenders *Marine craft systems and subassemblies *Civilian and commercial rotary wing aircraft *Target or reconnaissance drones *Reconnaissance or surveillance aircraft *Anti submarine aircraft *Unmanned aerial vehicle *Agricultural drone *Military drone *Law enforcement drone *Aerospace systems and components and equipment *Air to ground terrain following systems *Aircraft communication systems *Aircraft onboard defrosting or defogging systems *Industrial optics *Laboratory and scientific equipment *Transducers *Electronic and communication measuring and testing instruments *Light and wave generating and measuring equipment *Manual test kits and quality controls and calibrators and standards *Components for information technology or broadcasting or telecommunications *System boards processors interfaces or modules *Computers *Fixed network equipment and components *Underwater communication system *Optical network devices *Network service equipment *Software *Procurement software *Audit software *Procedure management software *Content management software *Data management and query software *Educational or reference software *Industry specific software *Analytical or scientific software *Operating environment software *Security and protection software *Network security and virtual private network VPN equipment software *Security surveillance and detection *Security or access control systems *Passenger air transportation *Aerodrome or airport or aviation facility operations service *Water transport vessel maintenance and repair services *Avionics design *System and system component administration services *Data services *Manufacturing technology research and development services *Product research and development service *Application or technology research and development service *Oceanography and hydrology *Enhanced telecommunications services *Military services and national defense *Military science and research *Confinement surveillance systems maintenance or monitoring,Other,*Robotics *Rapid prototyping machinery and accessories *Welding and soldering and brazing machinery and accessories and supplies *Specialized and recreational vehicles *Submarine tenders *Marine craft systems and subassemblies *Civilian and commercial rotary wing aircraft *Target or reconnaissance drones *Reconnaissance or surveillance aircraft *Anti submarine aircraft *Unmanned aerial vehicle *Agricultural drone *Military drone *Law enforcement drone *Aerospace systems and components and equipment *Air to ground terrain following systems *Aircraft communication systems *Aircraft onboard defrosting or defogging systems *Industrial optics *Laboratory and scientific equipment *Transducers *Electronic and communication measuring and testing instruments *Light and wave generating and measuring equipment *Manual test kits and quality controls and calibrators and standards *Components for information technology or broadcasting or telecommunications *System boards processors interfaces or modules *Computers *Fixed network equipment and components *Underwater communication system *Optical network devices *Network service equipment *Software *Procurement software *Audit software *Procedure management software *Content management software *Data management and query software *Educational or reference software *Industry specific software *Analytical or scientific software *Operating environment software *Security and protection software *Network security and virtual private network VPN equipment software *Security surveillance and detection *Security or access control systems *Passenger air transportation *Aerodrome or airport or aviation facility operations service *Water transport vessel maintenance and repair services *Avionics design *System and system component administration services *Data services *Manufacturing technology research and development services *Product research and development service *Application or technology research and development service *Oceanography and hydrology *Enhanced telecommunications services *Military services and national defense *Military science and research *Confinement surveillance systems maintenance or monitoring,15,20,1,1,2026-05-27,2026-05-27,,,0
Canada federal,Canada,*D301A *D301C *JI7021 *JX7010A *JX7010AB *JX7010AH *JX7010B *N5340A,"*Computer and Data Processing Services *Computer Services, Not Elsewhere Specified *ADP Central Processing Unit (CPU, Computer) Digital - Installation *Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Mini/Super Micro (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Special Purpose, Includes Artificial Intelligence, Array, Parallel, Vector etc. - Maintenance *Computers, Digital Turnkey Systems, Large Scale (Includes Application Software) - Maintenance *General Hardware",Other,"*Computer and Data Processing Services *Computer Services, Not Elsewhere Specified *ADP Central Processing Unit (CPU, Computer) Digital - Installation *Computers, Digital Systems, Large Scale (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Mini/Super Micro (May Include Operating System Software) - Maintenance *Computers, Digital Systems, Special Purpose, Includes Artificial Intelligence, Array, Parallel, Vector etc. - Maintenance *Computers, Digital Turnkey Systems, Large Scale (Includes Application Software) - Maintenance *General Hardware",15,20,1,1,2025-06-09,2025-06-09,,,0
Canada federal,Canada,*81111500 *81111600 *81111800 *81141902 *81160000,*Software or hardware engineering *Computer programmers *System and system component administration services *Application or technology research and development service *Information Technology Service Delivery,Other,*Software or hardware engineering *Computer programmers *System and system component administration services *Application or technology research and development service *Information Technology Service Delivery,15,20,1,1,2026-05-01,2026-05-01,,,0
Canada federal,Canada,*43210000 *43212100 *43230000 *78121600 *78131700 *78131800 *78131804 *80101507 *80161604 *81111708 *81111801 *81112100 *81141601 *81161700 *83111602,*Computer Equipment and Accessories *Computer printers *Software *Material handling services *Bulk storage *Specialized warehousing and storage *Document storage services *Information technology consultation services *Information technology IT management services *Telecommunications planning services *Computer or network or internet security *Internet services *Logistics *Telecommunication Services *Satellite or earth communication systems services,Other,*Computer Equipment and Accessories *Computer printers *Software *Material handling services *Bulk storage *Specialized warehousing and storage *Document storage services *Information technology consultation services *Information technology IT management services *Telecommunications planning services *Computer or network or internet security *Internet services *Logistics *Telecommunication Services *Satellite or earth communication systems services,15,20,1,1,2026-05-13,2026-05-13,,,0
Canada federal,Canada,*81100000 *81101700 *81102200 *81110000 *81111500 *81111801 *81112000 *81151800 *92111700,*Professional engineering services *Electrical and electronic engineering *Transportation engineering *Computer services *Software or hardware engineering *Computer or network or internet security *Data services *Oceanography and hydrology *Military science and research,Other,*Professional engineering services *Electrical and electronic engineering *Transportation engineering *Computer services *Software or hardware engineering *Computer or network or internet security *Data services *Oceanography and hydrology *Military science and research,15,20,1,1,2025-01-21,2025-01-21,,,0
Canada federal,Canada,*32130000 *39122100 *40101604 *43201500 *43201513 *43201553 *43201830 *43211501 *43222612 *43231512,*Electronic hardware and component parts and accessories *Electrical transmission and distribution equipment *Fans *System boards processors interfaces or modules *Motherboards *Transceivers and media converters *Solid state drive SSD *Computer servers *Network switches *License management software,Other,*Electronic hardware and component parts and accessories *Electrical transmission and distribution equipment *Fans *System boards processors interfaces or modules *Motherboards *Transceivers and media converters *Solid state drive SSD *Computer servers *Network switches *License management software,15,20,1,1,2024-11-05,2024-11-05,,,0
