broad_family,records,buyers,median_value,median_bidders,avg_priority,open_world_candidates
Other / unknown,61959,132,58395.0,,47.08130441098145,0
Other services,28081,134,100000.0,,50.59566682098216,0
Transport / logistics,11989,92,50000.0,,42.20213862707482,0
IT / software / cyber,10962,123,107390.08499999999,,61.35202152891808,7934
Training / education,9938,119,25162.5,,52.66106661300061,9742
Other goods / resale,8691,90,32459.86,,43.612661373835,8439
Creative / communications / print,6769,125,60000.0,,56.12051115378933,5927
Facilities / cleaning / maintenance,6708,97,31086.515,,41.17917412045319,0
Consulting / research / audit,5784,124,116009.6,,61.58234094052559,4281
Hardware / AV / electronics,5474,87,51664.25,,46.82388746803069,4904
Staffing / HR,5203,100,134085.37,,52.97421871996925,0
Laboratory / scientific,2282,64,36230.369999999995,,46.02651183172656,0
Events / exhibitions,2038,94,26072.25,,46.7522178606477,0
Construction / works,2018,68,79982.35,,42.44614469772051,0
Office / administrative goods,1882,79,25118.04,,44.60255047821467,1670
Architecture / engineering,1841,76,302871.8,,49.30350896252037,0
Property / real estate,1804,95,365599.0,,49.55290465631929,0
Healthcare / medical,1573,42,60500.0,,46.99009535918627,0
Food / catering,957,44,17694.6,,43.803866248693836,0
Security / safety,624,55,109687.875,,48.07483974358974,0
Web / digital,441,90,79728.0,,74.86775510204082,68
Environment / waste,375,36,102350.49,,48.04272,0
Energy / utilities,318,41,81073.0,,47.67660377358491,0
Language / transcription,316,51,40552.945,,70.41791139240506,98
Document / data processing,184,50,124846.20999999999,,64.06880434782609,131
