lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,AUD,168230,139,59400.0,21002.195,266578.51,,47.988221244724485
Software licences / SaaS resale,AWARD_FIRST_EVIDENCE,AUD,2838,89,80395.94,32050.302499999998,274162.27,,74.48881606765327
Hardware / AV resale,AWARD_FIRST_EVIDENCE,AUD,2478,103,83155.25,25567.575,330000.0,,69.25188861985472
Recruitment / temporary staffing,AWARD_FIRST_EVIDENCE,AUD,1458,78,27500.0,16011.24,78300.0,,57.916090534979425
Uniforms / PPE resale,AWARD_FIRST_EVIDENCE,AUD,578,19,49692.735,21991.75,170179.7625,,62.36242214532872
Event support / production,AWARD_FIRST_EVIDENCE,AUD,280,38,32754.545,17621.989999999998,80793.61249999999,,57.97564285714286
Printing / mailing / routing,AWARD_FIRST_EVIDENCE,AUD,256,44,22009.0,13658.149999999998,44066.0,,70.6515625
Survey / market research,AWARD_FIRST_EVIDENCE,AUD,225,49,109998.9,39905.0,250000.0,,73.06053333333334
Office supplies / consumables resale,AWARD_FIRST_EVIDENCE,AUD,216,70,29294.02,16176.375,109917.5,,61.32666666666667
Training / e-learning,AWARD_FIRST_EVIDENCE,AUD,209,67,29700.0,14410.0,129790.1,,69.40593301435406
Website / CMS build or redesign,AWARD_FIRST_EVIDENCE,AUD,195,63,92928.0,36474.240000000005,244100.0,,79.04123076923076
Graphic design / layout / DTP,AWARD_FIRST_EVIDENCE,AUD,189,49,30000.0,16500.0,70000.0,,72.0952380952381
Translation,AWARD_FIRST_EVIDENCE,AUD,170,45,26150.3,14151.94,69068.01,,74.68741176470589
Courier / mail fulfilment,AWARD_FIRST_EVIDENCE,AUD,130,39,36329.905,18386.4325,107500.0,,57.04492307692308
Website support / accessibility / hosting,AWARD_FIRST_EVIDENCE,AUD,110,60,70676.2,38678.75,227378.25,,77.5829090909091
Promotional merchandise,AWARD_FIRST_EVIDENCE,AUD,100,9,17848.8,12000.5775,31082.0,,69.1202
Media / press monitoring,AWARD_FIRST_EVIDENCE,AUD,94,56,94974.0,40095.0,273146.25,,73.85914893617021
Signage / display production,AWARD_FIRST_EVIDENCE,AUD,83,25,22075.38,12904.815,55204.315,,68.53373493975904
Social media / community management,AWARD_FIRST_EVIDENCE,AUD,79,44,59400.0,23883.75,227791.74,,74.77037974683545
Transcription / captioning,AWARD_FIRST_EVIDENCE,AUD,78,22,55000.0,24065.0,150000.0,,77.39307692307692
Document digitization / OCR / scanning,AWARD_FIRST_EVIDENCE,AUD,58,18,141484.19,53196.0025,998509.105,,77.18827586206896
Call centre / helpdesk operations,AWARD_FIRST_EVIDENCE,AUD,53,26,160000.0,85800.0,360000.0,,63.48641509433962
Video production / post-production,AWARD_FIRST_EVIDENCE,AUD,50,23,49747.46,27190.35,130625.0,,71.5728
Cloud / hosting / managed IT,AWARD_FIRST_EVIDENCE,AUD,28,18,149096.35,25669.0,556856.3400000001,,60.53214285714286
Report / publication production,AWARD_FIRST_EVIDENCE,AUD,16,11,20846.65,14898.2875,30586.625,,67.47875
SEO / digital marketing,AWARD_FIRST_EVIDENCE,AUD,8,6,18725.059999999998,15754.75,33299.2975,,71.82
Data entry / clerical processing,AWARD_FIRST_EVIDENCE,AUD,2,2,51108.535,48054.2675,54162.8025,,75.94
