warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,avg_priority
AUSTENDER_V1,Australia,Web / digital,NO_CODE,imts<n>,1,565950.0,,63.1
AUSTENDER_V1,Australia,Web / digital,NO_CODE,<n>amsa<n>,1,598400.0,,63.1
AUSTENDER_V1,Australia,Document / data processing,NO_CODE,d<n>,2,6366146.275,,62.8
AUSTENDER_V1,Australia,Document / data processing,NO_CODE,cn <n>,1,893200.0,,62.56
AUSTENDER_V1,Australia,Document / data processing,NO_CODE,<n>/<n>/<n> arp - os,1,965478.82,,62.56
AUSTENDER_V1,Australia,Document / data processing,NO_CODE,cm-<n>-rec,1,753382.3,,62.56
AUSTENDER_V1,Australia,Document / data processing,NO_CODE,psc<n>,1,1242562.0,,62.56
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,icn<n>-<n>sax,1,4520044.96,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,<n> & <n>,1,3404150.0,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,csp<n>-<n>rtx,1,2724631.8,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,<n>/pad<n>,1,2200000.0,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,cr<n>,1,2797881.9,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,atpfbv,1,2937980.0,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,fis/<n>/<n>,1,2950493.0,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,dpi<n>-<n>sax,1,4056861.57,,61.78
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,<n>-wor<n>,4,2002000.0,,61.66
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,orm<n>-<n>sax,2,3002829.35,,61.54
AUSTENDER_V1,Australia,Document / data processing,NO_CODE,sco<n>-<n>,2,363450.0,,61.36
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,md<n>,5,799882.78,,61.3
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,psc<n>,2,728450.0,,61.3
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,<n>amsa<n>,2,899000.0,,61.3
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,iap/<n>/<n>,1,1199999.0,,61.3
AUSTENDER_V1,Australia,Consulting / research / audit,NO_CODE,aims/healthy conversations,1,1048751.0,,61.3
