warehouse_source,country,buyer_name,lean_lane,route_band,records,median_value,avg_priority
AUSTENDER_V1,Australia,Department of Defence,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,68729,36397.63,46.417003884823
AUSTENDER_V1,Australia,Department of Veterans' Affairs,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,6762,72450.0,46.37937000887312
AUSTENDER_V1,Australia,Department of Foreign Affairs and Trade,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,6218,58904.985,48.27798327436475
AUSTENDER_V1,Australia,"Department of Climate Change, Energy, the Environment and Water",OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,5810,88000.0,48.829356282271945
AUSTENDER_V1,Australia,Services Australia,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,5212,221730.525,49.247643898695316
AUSTENDER_V1,Australia,Department of Home Affairs,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,4056,109645.93,49.98094674556213
AUSTENDER_V1,Australia,Australian Signals Directorate,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,3845,140540.4,50.301274382314695
AUSTENDER_V1,Australia,"Department of Agriculture, Fisheries and Forestry",OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,3578,130448.20000000001,50.17236444941308
AUSTENDER_V1,Australia,Department of Employment and Workplace Relations,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,3326,101550.75,49.84476247745039
AUSTENDER_V1,Australia,"Department of Health, Disability and Ageing",OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,3226,338694.405,51.0056664600124
AUSTENDER_V1,Australia,Australian Federal Police,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,3135,59018.92,47.855253588516746
AUSTENDER_V1,Australia,"Department of Industry, Science and Resources",OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,2776,74709.25,49.926628242074926
AUSTENDER_V1,Australia,Department of Health and Aged Care,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,2767,119999.99,49.6174990964944
AUSTENDER_V1,Australia,Department of Finance,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,2486,58292.93,48.82451327433628
AUSTENDER_V1,Australia,Australian Taxation Office,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,2246,53228.024999999994,50.4193232413179
AUSTENDER_V1,Australia,Australian Electoral Commission,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,2188,180662.76,48.821124314442415
AUSTENDER_V1,Australia,Bureau of Meteorology,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,2163,96607.5,47.922773925104025
AUSTENDER_V1,Australia,Austrade,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1938,31822.325,46.773095975232195
AUSTENDER_V1,Australia,Australian Competition and Consumer Commission,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1894,64158.38,49.66
AUSTENDER_V1,Australia,Australian Securities and Investments Commission,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1749,70000.0,49.02236706689537
AUSTENDER_V1,Australia,Department of Defence,Software licences / SaaS resale,AWARD_FIRST_EVIDENCE,1473,65880.1,74.09486761710794
AUSTENDER_V1,Australia,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts",OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1442,55000.0,47.92391123439667
AUSTENDER_V1,Australia,Office of the Director of Public Prosecutions,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1297,28500.0,45.87449498843485
AUSTENDER_V1,Australia,Geoscience Australia,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1161,48242.04,48.11617571059431
AUSTENDER_V1,Australia,"Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts",OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1115,72280.0,48.66308520179372
AUSTENDER_V1,Australia,Department of Parliamentary Services,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1098,53374.28999999999,47.80879781420765
AUSTENDER_V1,Australia,National Indigenous Australians Agency,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,1006,40000.0,49.371391650099405
AUSTENDER_V1,Australia,Australian Digital Health Agency,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,949,326700.0,51.9140779768177
AUSTENDER_V1,Australia,Aged Care Quality and Safety Commission,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,945,126668.7,49.13530158730159
AUSTENDER_V1,Australia,Department of Foreign Affairs and Trade - Australian Aid Program,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,938,144399.515,49.77277185501066
AUSTENDER_V1,Australia,Australian Criminal Intelligence Commission,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,892,92605.095,50.54029147982063
AUSTENDER_V1,Australia,Department of the Prime Minister and Cabinet,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,890,132013.28,51.396494382022475
AUSTENDER_V1,Australia,Department of Education,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,879,136317.5,50.54839590443686
AUSTENDER_V1,Australia,Attorney-General's Department,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,872,45066.715,49.05711009174312
AUSTENDER_V1,Australia,Australian Prudential Regulation Authority,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,820,55272.45,47.48609756097561
AUSTENDER_V1,Australia,Department of Social Services,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,806,187597.03999999998,51.84598014888338
AUSTENDER_V1,Australia,Department of the Treasury,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,773,79500.0,52.05347994825356
AUSTENDER_V1,Australia,Department of Defence,Hardware / AV resale,AWARD_FIRST_EVIDENCE,738,47792.25,66.3849593495935
AUSTENDER_V1,Australia,Federal Court of Australia,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,615,74394.72,47.08790243902439
AUSTENDER_V1,Australia,Clean Energy Regulator,OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,614,65040.75,50.8985016286645
