warehouse_source,country,tender_id,publication_date,buyer_name,title,code,procedure,route_band,lean_lane,broad_family,fulfillment_mode,currency,reference_value,median_bidders,historical_priority_score,official_url
AUSTENDER_V1,Australia,aus_756770b3b834862ab505,2025-06-23,Australian Securities and Investments Commission,CON/GAUCON/CON003250/2,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,6948000.0,,83.98,
AUSTENDER_V1,Australia,aus_c449caa4a054f1f37c3e,2026-06-10,Tourism Australia,PROCFY25186,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,3294250.33,,83.98,
AUSTENDER_V1,Australia,aus_e0053cec6d54cc349dec,2025-09-30,Services Australia,C000005156,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,2532750.0,,83.98,
AUSTENDER_V1,Australia,aus_d779a005e157cc715b32,2026-07-23,Australian Competition and Consumer Commission,CON/GAUCON/CON0003913/6,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,1792000.0,,83.50,
AUSTENDER_V1,Australia,aus_2cf639987257aeb88798,2025-08-18,Australian Bureau of Statistics,ABS2024.210,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,1641846.0,,83.50,
AUSTENDER_V1,Australia,aus_9e5a186273bfcd1799e5,2026-06-10,Tourism Australia,PROCFY25186,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,1430366.0,,83.50,
AUSTENDER_V1,Australia,aus_b5efac8006b8e0a799c1,2025-07-11,Department of Education,4400075747,,UNKNOWN,AWARD_FIRST_EVIDENCE,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,AUD,1365000.0,,83.50,
AUSTENDER_V1,Australia,aus_1cde586a509c231f4368,2026-06-24,Federal Court of Australia,PA-2026-0142-01,,UNKNOWN,AWARD_FIRST_EVIDENCE,Transcription / captioning,Language / transcription,DIGITAL_REMOTE_LIKELY,AUD,1000000.0,,83.50,
AUSTENDER_V1,Australia,aus_9fee44b807901e93a4ae,2026-06-24,Federal Court of Australia,PA-2026-0142-02,,UNKNOWN,AWARD_FIRST_EVIDENCE,Transcription / captioning,Language / transcription,DIGITAL_REMOTE_LIKELY,AUD,1000000.0,,83.50,
AUSTENDER_V1,Australia,aus_bb29588d5c1529d9922e,2026-06-24,Federal Court of Australia,PA-2026-0142-03,,UNKNOWN,AWARD_FIRST_EVIDENCE,Transcription / captioning,Language / transcription,DIGITAL_REMOTE_LIKELY,AUD,1000000.0,,83.50,
