broad_family,records,buyers,median_value,median_bidders,avg_priority,open_world_candidates
Other / unknown,1580478,117496,433650.0,2.0,47.8835931281549,0
Other services,108235,24220,131848.215,1.0,50.756021434840854,0
Construction / works,62369,18527,500000.0,3.0,41.9170029982844,0
Transport / logistics,61667,16393,320281.6625,3.0,43.611553342954906,0
Other goods / resale,60977,16026,212087.435,1.0,44.61410367843613,58283
Training / education,57931,10714,240000.0,2.0,56.82305501372322,45612
IT / software / cyber,54136,14609,393968.5,1.0,58.338006502142754,47127
Creative / communications / print,45583,14797,400000.0,2.0,57.665507755084136,38662
Consulting / research / audit,35022,11068,136476.16,1.0,56.7881228941808,33405
Facilities / cleaning / maintenance,34287,11856,354551.25,2.0,43.01410738763963,0
Healthcare / medical,31126,5559,383977.5,1.0,50.25295637087965,0
Hardware / AV / electronics,23152,7404,425002.7,2.0,54.15469246717346,11691
Architecture / engineering,19350,6666,110243.435,1.0,49.42169715762274,0
Web / digital,14833,4367,350000.0,3.0,64.88152228139958,9487
Events / exhibitions,11215,4761,400000.0,2.0,49.37774944271066,0
Laboratory / scientific,9601,3725,205854.75,1.0,49.68024372461202,0
Staffing / HR,8728,4420,289207.93,2.0,54.607930797433546,0
Food / catering,7877,5166,450905.18,3.0,48.287167703440396,0
Security / safety,7835,3881,150000.0,1.0,48.6238315252074,0
Environment / waste,3730,1688,500000.0,3.0,48.10458445040214,0
Office / administrative goods,3086,1264,336387.01,3.0,51.748049254698635,2045
Property / real estate,3051,1343,405427.5,3.0,48.50715830875123,0
Document / data processing,2824,1595,207145.0,1.0,61.75449716713881,2211
Energy / utilities,1930,1040,1000000.0,3.0,49.013948186528495,0
Language / transcription,1524,697,75000.0,1.0,77.67898950131233,207
