lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
OTHER / OPEN WORLD,OPEN_PUBLIC,EUR,659474,57219,260000.0,76000.0,711423.6,3.5,46.18427762125573
OTHER / OPEN WORLD,UNKNOWN,UNKNOWN,475880,46379,552927.6,121693.66,2511275.3075,2.0,45.7477522064386
OTHER / OPEN WORLD,UNKNOWN,EUR,429715,47560,495960.0,199000.0,1642764.47,2.0,48.63742019710738
OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,CAD,94217,1238,49691.14,32999.235,89072.25749999999,1.0,55.17616714605644
OTHER / OPEN WORLD,COMPETITIVE_OTHER,EUR,81253,20986,241547.0,26093.25,1072670.6875,2.5,44.653208373844656
OTHER / OPEN WORLD,OPEN_PUBLIC,CAD,58759,2086,321859.695,136532.10749999998,904418.9175,3.0,52.215117684099454
OTHER / OPEN WORLD,OPEN_PUBLIC,GBP,44111,4886,250000.0,45000.0,1349689.08,6.0,51.9346439663576
OTHER / OPEN WORLD,UNKNOWN,CZK,42078,3302,5360034.5,1404525.5,15416861.43,1.5,55.04220447739912
OTHER / OPEN WORLD,UNKNOWN,PLN,41132,6210,873652.0,176085.0,2723460.6,1.0,52.86715258193134
OTHER / OPEN WORLD,UNKNOWN,SEK,38422,1670,8000000.0,3300000.0,30000000.0,3.0,53.662326791942114
OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,GBP,34555,2498,82552.0,30000.0,350000.0,1.0,52.38745709738099
OTHER / OPEN WORLD,UNKNOWN,BGN,34268,1809,123567.6125,26666.1875,500175.18,1.5,50.465409128049494
OTHER / OPEN WORLD,UNKNOWN,GBP,26783,3017,625000.0,60000.0,6679323.605,1.0,48.47969383564201
OTHER / OPEN WORLD,UNKNOWN,RON,26101,3062,1165700.0,206433.6,4773600.0,2.0,53.591380406880965
OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,EUR,24127,3518,200000.0,1.0,580000.0,1.0,48.24061342064906
OTHER / OPEN WORLD,LIMITED_INVITATION,CAD,16927,867,48657.52,32256.095,75811.755,1.0,51.2493200212678
OTHER / OPEN WORLD,COMPETITIVE_OTHER,GBP,14177,2697,120242.5,41921.14,1500000.0,3.0,48.58785920857727
Translation,OPEN_PUBLIC,EUR,12859,227,366946.0,154000.0,836000.0,6.0,69.65936853565596
OTHER / OPEN WORLD,UNKNOWN,NOK,12366,1248,12000000.0,4092349.25,45909607.5,3.0,53.26568494258451
OTHER / OPEN WORLD,UNKNOWN,DKK,9269,1316,10393544.5,3250000.0,42497750.0,3.0,54.14434135289675
OTHER / OPEN WORLD,COMPETITIVE_OTHER,CAD,3972,353,203693.22999999998,73010.11249999999,678438.8,,46.13416918429003
OTHER / OPEN WORLD,UNKNOWN,HUF,3725,729,82105100.0,19973000.0,279870000.0,2.0,56.51843758389262
Hardware / AV resale,UNKNOWN,UNKNOWN,3693,1771,430842.52,126686.84,1548447.0,2.0,62.33534795559166
Hardware / AV resale,OPEN_PUBLIC,EUR,3204,808,223500.0,50000.0,700000.0,3.0,64.35667915106117
Hardware / AV resale,UNKNOWN,EUR,3073,1452,482352.88,215310.905,1373245.06,2.0,65.87354376830459
OTHER / OPEN WORLD,UNKNOWN,CAD,2746,390,303636.925,106649.60499999998,1105039.3575,3.0,53.38738528769119
OTHER / OPEN WORLD,FRAMEWORK_DPS_CALLOFF,EUR,2436,181,388125.0,141581.5,1246737.8900000001,11.0,52.84
Signage / display production,OPEN_PUBLIC,EUR,2175,1463,362512.0,150000.0,898000.0,3.0,62.70976551724138
Printing / mailing / routing,OPEN_PUBLIC,EUR,1968,1457,400000.0,167500.0,800000.0,4.5,70.34585365853658
Recruitment / temporary staffing,OPEN_PUBLIC,EUR,1802,694,328930.96,94013.76000000001,1250000.0,5.0,59.844683684794674
Hardware / AV resale,OPEN_PUBLIC,GBP,1525,789,450000.0,131529.72999999998,2270833.0,5.0,72.8744524590164
Office supplies / consumables resale,OPEN_PUBLIC,EUR,1419,949,300250.0,125000.0,800000.0,4.0,63.05247357293869
Hardware / AV resale,DIRECT_NONCOMPETITIVE,GBP,1406,496,80000.0,35759.75,229630.0,1.0,70.19103840682789
Uniforms / PPE resale,OPEN_PUBLIC,EUR,1109,864,260000.0,111157.285,644000.0,3.0,61.00138863841298
OTHER / OPEN WORLD,FRAMEWORK_DPS_CALLOFF,GBP,1076,375,416000.0,74246.575,3000000.0,1.5,49.052695167286245
