warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,avg_priority
United Kingdom,United Kingdom,Language / transcription,NO_CODE,supply of a high resolution mass spectrometer,1,2000000.0,1.0,72.38
Germany,Germany,Web / digital,79970000,"medienversorgung daad-lektorate und ortslektorinnen und -lektoren, daad-langzeitdozenturen sowie das programm dhoch<n>",1,2800000.0,1.0,72.38
Germany,Germany,Web / digital,22110000,medienlieferungen zum ausbau des medienbestandes der stadtbücherei inklusive medienbearbeitungsleistungen und bereitstel,1,3673741.87,1.0,72.38
Germany,Germany,Web / digital,09300000,wärmecontracting der kreisstadt unna für zwei schulliegenschaften,1,2308572.0,1.0,72.38
United Kingdom,United Kingdom,Web / digital,66510000,insurance tender - property lot <n> award <n>-<n>,1,9071650.0,1.0,72.38
United Kingdom,United Kingdom,Web / digital,NO_CODE,fully managed energy supply service (gas and electric),1,50500000.0,1.0,72.38
United Kingdom,United Kingdom,Web / digital,63500000,corporate travel portal,1,5000000.0,1.0,72.38
United Kingdom,United Kingdom,Web / digital,85000000,tender for the provision of the integrated community equipment service (ices),1,9100000.0,1.0,72.38
United Kingdom,United Kingdom,Web / digital,NO_CODE,independent child trafficking guardianship (ictg) service,1,40000000.0,1.0,72.38
United Kingdom,United Kingdom,Web / digital,50118100,p-<n> provision of vehicle recovery services <n>,1,923100.0,1.0,71.9
United Kingdom,United Kingdom,Web / digital,NO_CODE,dbc (sf) tenants contents insurance,1,510000.0,1.0,71.9
United Kingdom,United Kingdom,Web / digital,38434510,imaging flow cytometer,1,543966.98,1.0,71.9
Germany,Germany,Web / digital,72000000,dienstleistungen im bereich portale,1,1048960.0,1.0,71.9
United Kingdom,United Kingdom,Web / digital,NO_CODE,whole life carbon planning review platform,1,583333.31,1.0,71.9
Germany,Germany,Web / digital,72000000,"""einrichtung eines patientenportals für ein digitales aufnahme-, behandlungs- sowie entlass- und überleitungsmanagement""",1,840336.14,0.0,71.9
United Kingdom,United Kingdom,Web / digital,50222000,p-<n> c<n> mpv asset renewal,1,1500000.0,1.0,71.9
United Kingdom,United Kingdom,Web / digital,50232000,"supply, installation & maintenance of traffic signals",1,654093.68,1.0,71.9
Ireland,Ireland,Document / data processing,33124100.0,"supply, delivery and installation of a transmission electron microscopy (tem) suite consisting of <n> tem tools and <n> ",1,5500000.0,1.0,71.84
United Kingdom,United Kingdom,Web / digital,50660000,repair and refurbishment of optical electrical and electronic components and associated assemblies,1,4950000.0,1.0,71.38
United Kingdom,United Kingdom,Web / digital,50630000,irm<n>/<n> - the repair of jackal assemblies and associated items,1,7763000.0,1.0,71.38
Germany,Germany,Web / digital,72000000,"abschluss eines rahmenvertrages über unterstützungsleistungen für die anwendungen vms, vms-comm, azs, iua-asservat, hwp-",1,7000000.0,1.0,71.38
Germany,Germany,Web / digital,72000000,zuschlag_digitale behandlungsinformation und aufklärungsvideos,1,4294108.0,1.0,71.38
United Kingdom,United Kingdom,Web / digital,85100000,children’s public health services (<n>-<n> years) health visiting and school nursing (psr process c),1,13892098.0,1.0,71.38
United Kingdom,United Kingdom,Web / digital,35113200,fixed portal expansion,1,8442364.25,1.0,71.38
United Kingdom,United Kingdom,Web / digital,90714100,open access landis portal,1,10342259.0,1.0,71.38
United Kingdom,United Kingdom,Web / digital,44810000,provision of a tail spend portal,1,8000000.0,1.0,71.38
United Kingdom,United Kingdom,Web / digital,33140000,the supply of intraosseous devices,1,4500000.0,1.0,71.38
United Kingdom,United Kingdom,Document / data processing,NO_CODE,procurement for national river flow archive peak flows dataset maintenance,1,508276.635,1.0,71.36
Germany,Germany,Document / data processing,38510000,anschaffung eines neuen konfokalen laser-scanning-mikroskops,1,714000.0,1.0,71.36
Germany,Germany,Document / data processing,32000000,beschaffung einer e-mail-virus-scanning-lösung für einen kunden in der hessischen landesverwaltung,1,1655947.65,1.0,71.36
Germany,Germany,Document / data processing,38510000,konfokales laserscanning-mikroskop,1,1081512.6,1.0,71.36
Quebec,Canada - Quebec,Document / data processing,41100000,scanning microscope/microscope à scan,1,575000.0,1.0,71.36
Germany,Germany,Document / data processing,38515200,konfokales fluoreszenzmikroskop,1,630000.0,1.0,71.36
Germany,Germany,Document / data processing,38636100,konfokales laser-scanning-mikroskop,1,563000.0,1.0,71.36
Germany,Germany,Document / data processing,38000000,laser-scanning-mikroskop,1,655447.93,1.0,71.36
Ireland,Ireland,Document / data processing,92510000.0,li<n>f - request for tenders to establish a single supplier framework agreement for the holdings of participating conul ,1,1540000.0,1.0,71.36
United Kingdom,United Kingdom,Web / digital,NO_CODE,street outreach settlement,1,2300000.0,2.0,70.98
United Kingdom,United Kingdom,Web / digital,85000000,nhse<n> - derwentside immigration and removal centre (irc) primary care services and dental services,1,5205720.0,3.0,70.98
Germany,Germany,Web / digital,45221240,teilerneuerung rüssdorftunnel mit gleisverschwenkung in <n> vergabelosen,1,5153000.0,2.0,70.98
Germany,Germany,Web / digital,72000000,"beschaffung von unterstützungsleistungen zur erstellung eines portals sowie zur durchführung, auswertung und weiterarbei",1,2746796.4,2.0,70.98
United Kingdom,United Kingdom,Web / digital,22000000,provision of library stock to east midlands & mid anglia library consortium,1,9138400.0,2.0,70.98
United Kingdom,United Kingdom,Web / digital,85323000,mental health sanctuaries for nhs mid and south essex integrated care board,1,6291920.0,2.0,70.98
Germany,Germany,Web / digital,72000000,it-betriebsplattorm für applikationen (schulportal hessen),1,6178266.0,2.0,70.98
United Kingdom,United Kingdom,Web / digital,09310000,rad/<n> - supply of electricity <n>/<n>,1,2350665.54,2.0,70.98
United Kingdom,United Kingdom,Web / digital,42000000,roll to roll coater and dryer,1,2049395.43,2.0,70.98
United Kingdom,United Kingdom,Web / digital,33100000,provision of equipment and consumables for the sleep apnoea service,1,5681864.13,3.0,70.98
United Kingdom,United Kingdom,Web / digital,65300000,supply of electricity,1,2600000.0,2.0,70.98
United Kingdom,United Kingdom,Web / digital,85000000,ophthalmology (cataracts and glaucoma),1,3303985.0,2.0,70.98
Germany,Germany,Web / digital,45234170,vp<n>a: fahrstromversorgung,1,7926541.05,2.0,70.98
United Kingdom,United Kingdom,Web / digital,NO_CODE,hickman avenue fleet and council service facility works,1,13195823.0,2.0,70.98
