warehouse_source,country,buyer_name,lean_lane,route_band,records,median_value,avg_priority
Canada federal,Canada,Department of Public Works and Government Services (PSPC),OTHER / OPEN WORLD,OPEN_PUBLIC,4765,207431.84,48.01084575026233
United Kingdom,United Kingdom,Surrey County Council,OTHER / OPEN WORLD,OPEN_PUBLIC,3537,44871.43,43.17530675713882
TED,ESP,Dirección General de Racionalización y Centralización de la Contratación-Junta de Contratación Centralizada,OTHER / OPEN WORLD,UNKNOWN,2760,359846.75,55.793971014492755
TED,SWE,Trafikverket Myndighet,OTHER / OPEN WORLD,UNKNOWN,2568,8000000.0,53.607009345794395
TED,NOR,SYKEHUSINNKJØP HF,OTHER / OPEN WORLD,UNKNOWN,2332,16000000.0,47.592255574614065
Quebec,Canada - Quebec,Société de transport de Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,2295,49845.625,56.264941176470586
TED,POL,Uniwersyteckie Centrum Kliniczne,OTHER / OPEN WORLD,UNKNOWN,2253,89610.0,49.45509986684421
TED,PRT,"Unidade Local de Saúde Santa Maria, E.P.E.",OTHER / OPEN WORLD,UNKNOWN,2042,226838.03,52.62092066601371
TenderNed,Netherlands,Gemeente Rotterdam,OTHER / OPEN WORLD,UNKNOWN,2020,226212.62,44.879118811881185
Quebec,Canada - Quebec,Université Laval,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1714,45000.0,55.05033838973162
TED,LTU,Viešoji įstaiga CPO LT,OTHER / OPEN WORLD,UNKNOWN,1704,12545.0,42.85396713615023
Quebec,Canada - Quebec,Centre intégré universitaire de santé et de services sociaux de l'Estrie - Centre Hospitalier Universitaire de Sherbrooke - CHUS,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1652,70000.0,54.938401937046
TED,CZE,Ředitelství silnic a dálnic s. p.,OTHER / OPEN WORLD,UNKNOWN,1643,6840467.75,51.950870359099206
TED,POL,Państwowe Gospodarstwo Wodne Wody Polskie,OTHER / OPEN WORLD,UNKNOWN,1593,128900.0,48.32344005021971
Quebec,Canada - Quebec,Ville de Québec,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1544,78339.0,55.74207253886011
Germany,Germany,DB InfraGO AG – Geschäftsbereich Fahrweg (Bukr 16),OTHER / OPEN WORLD,COMPETITIVE_OTHER,1543,0.0,42.786364225534676
Quebec,Canada - Quebec,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),OTHER / OPEN WORLD,OPEN_PUBLIC,1539,702960.0,54.644561403508774
Germany,Germany,"Landeshauptstadt München, Baureferat",OTHER / OPEN WORLD,OPEN_PUBLIC,1458,141290.035,45.77691358024691
TED,POL,Górnośląskie Centrum Medyczne im. prof. Leszka Gieca Śląskiego Uniwersytetu Medycznego w Katowicach,OTHER / OPEN WORLD,UNKNOWN,1430,85524.14499999999,46.75158041958042
Quebec,Canada - Quebec,Ministère des Transports et de la Mobilité durable (Direction générale de la gestion contractuelle),OTHER / OPEN WORLD,OPEN_PUBLIC,1406,770000.0,54.259985775248936
Quebec,Canada - Quebec,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1395,48000.0,54.614494623655915
Germany,Germany,DB InfraGO AG – Geschäftsbereich Fahrweg (Bukr 16),OTHER / OPEN WORLD,OPEN_PUBLIC,1366,0.0,45.0589458272328
TED,AUT,ÖBB-Infrastruktur AG,OTHER / OPEN WORLD,UNKNOWN,1294,1741328.25,48.38228748068006
TED,MLT,Department of Contracts,OTHER / OPEN WORLD,UNKNOWN,1292,613234.56,50.4578173374613
TED,CZE,Ministerstvo obrany,OTHER / OPEN WORLD,UNKNOWN,1260,5812344.4399999995,53.50039682539683
Quebec,Canada - Quebec,Ville de Québec,OTHER / OPEN WORLD,OPEN_PUBLIC,1227,356416.0,54.16516707416463
TED,ESP,Administrador de Infraestructuras Ferroviarias,OTHER / OPEN WORLD,UNKNOWN,1224,2968000.0,52.06127450980392
Ireland,Ireland,The Office of Government Procurement,OTHER / OPEN WORLD,FRAMEWORK_DPS_CALLOFF,1193,441600.0,54.938692372171
Quebec,Canada - Quebec,Université de Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1180,50000.0,55.62206779661017
Quebec,Canada - Quebec,CIUSSS du Nord-de-l'Île-de-Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1135,45603.0,54.83443171806167
Quebec,Canada - Quebec,Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1100,48317.494999999995,55.49854545454546
Quebec,Canada - Quebec,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec (CIUSSS MCQ),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1089,55374.0,54.72292011019284
Quebec,Canada - Quebec,Ville de Laval,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1085,88977.215,56.596387096774194
TED,ESP,"Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",OTHER / OPEN WORLD,UNKNOWN,1081,302239.68,48.38525439407955
Canada federal,Canada,Department of National Defence (DND),OTHER / OPEN WORLD,OPEN_PUBLIC,1080,24922.79,43.631388888888885
TED,FIN,Puolustusvoimat,OTHER / OPEN WORLD,UNKNOWN,1078,1686.2,43.435250463821895
United Kingdom,United Kingdom,Milton Keynes Council,OTHER / OPEN WORLD,OPEN_PUBLIC,1077,648.83,41.47019498607242
Quebec,Canada - Quebec,Ville de Montréal - Service de l'approvisionnement,OTHER / OPEN WORLD,OPEN_PUBLIC,1059,522509.64,45.60661000944287
Germany,Germany,DB InfraGO AG – Geschäftsbereich Fahrweg (Bukr 16),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1053,0.0,45.79451092117759
Quebec,Canada - Quebec,Société des traversiers du Québec,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1039,54000.0,55.31668912415785
Quebec,Canada - Quebec,Université McGill,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,1024,43482.11,55.01013671875
TED,FIN,HUS-yhtymä,OTHER / OPEN WORLD,UNKNOWN,1015,445000.0,46.86831527093596
Germany,Germany,"Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement",OTHER / OPEN WORLD,OPEN_PUBLIC,987,294829.0,53.426484295845995
Quebec,Canada - Quebec,Ministère des Transports et de la Mobilité durable (Direction de l'administration des appels d'offres publics),OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,982,29560.0,54.500386965376784
TED,CZE,Fakultní nemocnice Olomouc,OTHER / OPEN WORLD,UNKNOWN,976,3653253.0,55.899877049180326
Belgium,BE,Infrabel - Goods & Services,OTHER / OPEN WORLD,UNKNOWN,971,,41.54148300720906
Quebec,Canada - Quebec,CHU Ste-Justine,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,961,50000.0,55.45290322580645
Germany,Germany,SBH | Schulbau Hamburg,OTHER / OPEN WORLD,OPEN_PUBLIC,939,263543.0,54.146879659211926
Canada federal,Canada,Department of Public Works and Government Services (PSPC),OTHER / OPEN WORLD,COMPETITIVE_OTHER,936,294849.98,46.49839743589744
Quebec,Canada - Quebec,CISSS de Chaudière-Appalaches,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,926,52397.75,55.17481641468682
TED,POL,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,OTHER / OPEN WORLD,UNKNOWN,923,50048.11,44.04383531960997
Quebec,Canada - Quebec,CHU de Québec-Université Laval,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,915,62624.87,55.26144262295082
Quebec,Canada - Quebec,Centre intégré de santé et de services sociaux de la Montérégie-Est,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,887,46167.015,55.84750845546787
Belgium,BE,KU Leuven,OTHER / OPEN WORLD,UNKNOWN,876,,41.31294520547945
TED,LVA,Liepājas valstspilsētas pašvaldība,OTHER / OPEN WORLD,UNKNOWN,860,36332.229999999996,45.249581395348834
United Kingdom,United Kingdom,NHS England,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,848,34000.0,51.95518867924528
TED,MLT,Sectoral Procurement Directorate,OTHER / OPEN WORLD,UNKNOWN,843,187000.0,48.28125741399763
United Kingdom,United Kingdom,Bristol City Council,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,828,90000.0,43.65601449275362
TED,POL,Polska Grupa Górnicza S.A.,OTHER / OPEN WORLD,UNKNOWN,824,2333002.5,48.929708737864075
TED,LTU,VšĮ Vilniaus universiteto ligoninė Santaros klinikos (PV),OTHER / OPEN WORLD,UNKNOWN,798,36340.0,44.96385964912281
Quebec,Canada - Quebec,Ville de Lévis.,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,789,50703.98,54.424182509505705
TED,BGR,СТОЛИЧНА ОБЩИНА,OTHER / OPEN WORLD,UNKNOWN,788,127822.97,50.54210659898477
TED,CZE,"Správa železnic, státní organizace",OTHER / OPEN WORLD,UNKNOWN,786,59055455.0,53.123969465648855
Belgium,BE,Aquafin NV - Directie Projectmanagement,OTHER / OPEN WORLD,UNKNOWN,786,,40.9942748091603
Quebec,Canada - Quebec,Hydro-Québec.,OTHER / OPEN WORLD,OPEN_PUBLIC,785,1786465.6800000002,52.71885350318471
Quebec,Canada - Quebec,Santé Québec - Établissement CIUSSS de l’Est-de-l’Île-de-Montréal,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,783,63900.0,56.45333333333333
TED,HRV,GRAD ZAGREB,OTHER / OPEN WORLD,UNKNOWN,774,377292.0,53.147131782945735
Belgium,BE,Antwerpen,OTHER / OPEN WORLD,UNKNOWN,771,,41.24466926070039
TED,BGR,"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВЕТИ ГЕОРГИ"" ЕАД",OTHER / OPEN WORLD,UNKNOWN,766,80977.15,49.7598955613577
TED,FIN,Sansia Oy,OTHER / OPEN WORLD,UNKNOWN,765,600000.0,49.2239477124183
Belgium,BE,Regie der Gebouwen - Vlaanderen Regio Oost,OTHER / OPEN WORLD,UNKNOWN,765,,40.98988235294118
TenderNed,Netherlands,Staatsbosbeheer,OTHER / OPEN WORLD,UNKNOWN,757,1.0,37.1287714663144
TED,SWE,Västra Götalandsregionen,OTHER / OPEN WORLD,UNKNOWN,754,12000000.0,53.323236074270554
TED,FIN,Väylävirasto,OTHER / OPEN WORLD,UNKNOWN,753,1206575.0,47.45946879150066
TenderNed,Netherlands,Gemeente Den Haag,OTHER / OPEN WORLD,UNKNOWN,751,1333333.0,44.52434087882823
Quebec,Canada - Quebec,CISSS Montérégie-Ouest,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,748,46212.485,55.85483957219251
TED,LTU,Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos (PV),OTHER / OPEN WORLD,UNKNOWN,745,41487.6025,45.90553020134228
TenderNed,Netherlands,Gemeente Amsterdam,OTHER / OPEN WORLD,UNKNOWN,740,800000.0,42.91383783783784
TED,ESP,OSAKIDETZA - Servicio Vasco de Salud - Organización Central,OTHER / OPEN WORLD,UNKNOWN,735,699600.0,52.6672925170068
Quebec,Canada - Quebec,Société des établissements de plein air du Québec (Sépaq).,OTHER / OPEN WORLD,DIRECT_NONCOMPETITIVE,730,45000.0,55.316931506849315
TED,ROU,COMPANIA NATIONALA DE ADMINISTRARE A INFRASTRUCTURII RUTIERE S.A.,OTHER / OPEN WORLD,UNKNOWN,721,2005522.55,53.51583911234397
