warehouse_source,country,route_band,records,buyers,known_lane,open_world_candidates,median_value,avg_priority
Germany,Germany,OPEN_PUBLIC,449424,16415,19353,34433,220000.0,47.19611952187689
France,France,OPEN_PUBLIC,223065,38863,9293,56230,400000.0,46.363632663125095
TED,POL,UNKNOWN,123815,9927,1941,1400,756757.0,49.31437596414005
Germany,Germany,UNKNOWN,111747,1677,1582,9496,300000.0,41.82445971703938
TED,ESP,UNKNOWN,106635,8197,1732,7218,465572.32,51.88762038730248
Belgium,BE,UNKNOWN,103676,4515,1933,11393,,41.36983332690304
Quebec,Canada - Quebec,DIRECT_NONCOMPETITIVE,95211,1097,1959,9928,49550.0,55.73826721702324
TED,ITA,UNKNOWN,66277,11286,1246,4411,980000.0,51.988006095628954
Germany,Germany,COMPETITIVE_OTHER,53126,9955,1928,6557,252603.63,46.40559763580921
TenderNed,Netherlands,UNKNOWN,51508,1732,1014,2388,320000.0,44.21941445988973
Quebec,Canada - Quebec,OPEN_PUBLIC,49014,1677,550,5397,341398.29000000004,53.37632186722161
United Kingdom,United Kingdom,OPEN_PUBLIC,48633,5223,4491,14645,260191.5,54.014525527933706
TED,CZE,UNKNOWN,40947,3257,430,703,5613641.0,54.17673480352651
United Kingdom,United Kingdom,DIRECT_NONCOMPETITIVE,38071,2590,3516,12576,83983.4,54.12340206456358
TED,SWE,UNKNOWN,36897,1558,140,926,8000000.0,53.23776241970892
TED,BGR,UNKNOWN,35505,1810,7,65,120000.0,50.34911308266442
TED,ROU,UNKNOWN,35365,3342,738,1429,1007000.0,53.291891418068715
France,France,UNKNOWN,30513,10749,937,7044,715000.0,44.841833972405205
TED,PRT,UNKNOWN,29974,2527,427,1358,405120.0,50.069533595783014
United Kingdom,United Kingdom,UNKNOWN,29263,3135,2705,10455,650000.0,50.29105696613471
France,France,COMPETITIVE_OTHER,28689,11239,1144,7091,79567.59,43.15625013071212
TED,FIN,UNKNOWN,26186,1683,227,667,544447.5,47.665520507141224
TED,LTU,UNKNOWN,24673,796,211,286,55789.5,45.41532444372391
Germany,Germany,DIRECT_NONCOMPETITIVE,24440,3354,787,4314,182970.47,48.75773158756137
TED,PL,UNKNOWN,23579,5259,317,144,699193.495,51.51518639467323
TED,LVA,UNKNOWN,22913,587,133,340,106279.48,45.355090996377605
TED,NOR,UNKNOWN,22663,1593,948,5796,10000000.0,49.62053920487138
TED,AUT,UNKNOWN,21845,2176,211,1014,611803.4650000001,48.159112840466925
Quebec,Canada - Quebec,LIMITED_INVITATION,17295,873,368,2215,48588.2,51.716185024573576
TED,CHE,UNKNOWN,17218,4391,137,768,797133.095,49.821232431176675
Ireland,Ireland,OPEN_PUBLIC,16660,2822,1040,4673,210000.0,54.46951860744298
TED,ES,UNKNOWN,15869,3260,288,901,490226.7375,52.26478543071397
United Kingdom,United Kingdom,COMPETITIVE_OTHER,15344,2842,1159,4410,126075.65,50.16668404588113
Canada federal,Canada,OPEN_PUBLIC,13705,497,3410,4246,156739.8,52.88601970083911
TED,DNK,UNKNOWN,13506,1618,103,576,8000000.0,51.72116244632016
TED,HUN,UNKNOWN,13369,1333,84,44,89961819.0,53.383521579774104
TED,GRC,UNKNOWN,12939,2077,31,98,417062.9,50.47234253033465
TED,CZ,UNKNOWN,12873,1485,162,212,4738300.0,53.394768896139205
TED,IT,UNKNOWN,11198,3482,217,628,920000.0,53.3694784782997
TED,BG,UNKNOWN,11062,1143,0,6,124958.0,49.1620213342976
TED,SVN,UNKNOWN,11010,1080,109,115,277600.0,51.37583287920073
TED,HRV,UNKNOWN,10555,1100,40,133,327067.875,53.00941733775462
TED,SVK,UNKNOWN,8753,874,100,89,469045.5,52.30658060093682
TED,RO,UNKNOWN,8207,1709,189,266,1089330.0,52.52899963445839
TED,EST,UNKNOWN,7894,369,108,159,286752.0,52.08149987332151
TED,SE,UNKNOWN,5254,868,18,101,6000000.0,50.77799390940236
TED,PT,UNKNOWN,5028,863,77,190,354575.0,50.83735879077168
Canada federal,Canada,COMPETITIVE_OTHER,5023,401,1051,2134,203772.02,50.319374875572365
TED,LUX,UNKNOWN,4710,710,100,929,607000.0,45.16271762208068
TED,GR,UNKNOWN,4134,1100,7,21,350000.0,51.16851475568457
TED,LT,UNKNOWN,4038,282,36,32,88099.25,47.65569588905399
TED,MLT,UNKNOWN,4021,184,200,1081,265203.9,49.43031584183039
TED,CYP,UNKNOWN,3618,335,21,181,244000.0,50.01978441127695
TED,AT,UNKNOWN,3379,710,33,135,572947.79,49.11032849955608
TED,MKD,UNKNOWN,2787,459,94,599,14955000.0,44.03129529960531
Quebec,Canada - Quebec,UNKNOWN,2781,396,37,831,301845.31,53.6936569579288
Ireland,Ireland,COMPETITIVE_OTHER,2690,250,186,767,1000000.0,49.31602973977695
Ireland,Ireland,FRAMEWORK_DPS_CALLOFF,2532,181,96,1357,382800.0,53.54960505529226
TED,LV,UNKNOWN,2520,257,6,41,121503.4425,46.10311111111111
TED,HR,UNKNOWN,2459,488,8,22,381120.0,52.68941032940219
TED,NO,UNKNOWN,2448,519,140,639,8200000.0,52.58949346405229
TED,SI,UNKNOWN,2266,553,27,27,229506.33000000002,48.854483671668135
TED,FI,UNKNOWN,2201,529,14,32,457390.0,49.201044979554744
TED,DK,UNKNOWN,2112,600,14,66,9000000.0,51.71655303030303
TED,HU,UNKNOWN,2074,570,8,15,55478607.75,49.14524590163934
TED,SK,UNKNOWN,1237,347,15,16,345331.0,50.94619240097009
Canada federal,Canada,DIRECT_NONCOMPETITIVE,1236,167,271,391,171803.02000000002,50.211941747572816
TED,ISL,UNKNOWN,1211,91,22,118,35875000.0,45.337159372419485
United Kingdom,United Kingdom,FRAMEWORK_DPS_CALLOFF,1173,414,97,376,416000.0,50.48308610400682
TED,MDA,UNKNOWN,1032,181,47,93,4036280.42,49.8556007751938
TED,LU,UNKNOWN,1027,254,8,152,513265.64,47.23820837390458
TED,CH,UNKNOWN,868,451,18,37,723941.6,45.5265668202765
TED,MK,UNKNOWN,696,208,25,131,11204422.0,47.453132183908046
TED,CY,UNKNOWN,672,105,3,31,392000.0,52.199464285714285
TED,MT,UNKNOWN,582,47,29,220,304125.0,47.491408934707906
France,France,DIRECT_NONCOMPETITIVE,417,210,21,155,498453.0,52.556834532374104
TED,MD,UNKNOWN,316,53,5,31,4047694.12,52.51411392405063
TED,LIE,UNKNOWN,268,27,1,12,396015.625,48.1944776119403
TED,SRB,UNKNOWN,211,77,2,43,2319017.93,47.02938388625592
TED,IS,UNKNOWN,202,27,3,23,61741935.0,49.4690099009901
TED,UKR,UNKNOWN,157,71,4,33,7293087.0,49.59566878980892
TED,TUR,UNKNOWN,140,56,13,33,3000000.0,46.42357142857143
Ireland,Ireland,UNKNOWN,114,3,3,24,,41.97526315789474
TED,RE,UNKNOWN,91,25,3,16,509178.115,48.089890109890106
TED,LI,UNKNOWN,86,5,0,3,256312.72499999998,50.35093023255814
Ireland,Ireland,DIRECT_NONCOMPETITIVE,85,37,4,33,132500.0,51.96847058823529
TED,MNE,UNKNOWN,69,33,2,13,1280450.0,49.34289855072464
TED,BIH,UNKNOWN,65,16,2,16,1452494.3050000002,46.71415384615385
TED,MQ,UNKNOWN,59,19,0,18,425000.0,49.47457627118644
TED,RS,UNKNOWN,56,27,6,8,2666080.0,50.0475
TED,GEO,UNKNOWN,47,12,0,11,400000.0,47.8268085106383
TED,GP,UNKNOWN,43,18,1,7,1109786.0,48.276744186046514
TED,UA,UNKNOWN,40,26,0,7,1999885.0,46.295
