warehouse_source,country,tender_id,publication_date,buyer_name,title,code,procedure,route_band,lean_lane,broad_family,fulfillment_mode,currency,reference_value,median_bidders,historical_priority_score,official_url
Germany,Germany,ten_3c4c2a2b180d02ef2f08,2025-06-12,Bundesamt für Auswärtige Angelegenheiten,AA RV KonfDL Pavillon COP,79950000,open,OPEN_PUBLIC,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,EUR,7800000.0,1.0,92.78,
Quebec,Canada - Quebec,ten_4b81b7b4e417d2654a60,2024-09-09,Ministère du Travail,Services de transcription d'avis médicaux,80161504,Avis d’appel d’offres,OPEN_PUBLIC,Transcription / captioning,Language / transcription,DIGITAL_REMOTE_LIKELY,CAD,1800042.0,1.0,92.30,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=74be0ac2-1ced-4c1b-9821-fd5dd072f19b
Ireland,Ireland,ten_a4c4171d631fd556be6d,2025-05-28,Cork Education and Training Board,"The Provision of Marketing Services including Multimedia Strategy, Website Design and Development, Graphic Design Services, Planning and Buying Services, Event Management and Public Relations to CETB",79340000.0,Open Procedure,OPEN_PUBLIC,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,EUR,1500000.0,1.0,92.30,https://ted.europa.eu/en/notice/-/detail/343573-2025
Quebec,Canada - Quebec,ten_893f3a83acd3e055cebd,2024-11-12,Université McGill,In-Vitro Transcription System,41105800,Avis d’appel d’offres,OPEN_PUBLIC,Transcription / captioning,Language / transcription,DIGITAL_REMOTE_LIKELY,CAD,688105.28,1.0,92.30,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=e0d07618-ca92-40df-858e-ce7713b4d9b2
United Kingdom,United Kingdom,ten_7bb314d42459812cfcdd,2023-08-23,Beyond Housing,Tenants Contents Insurance 2024-2029,66500000,Open procedure,OPEN_PUBLIC,Website / CMS build or redesign,Web / digital,DIGITAL_REMOTE_LIKELY,GBP,675000.0,1.0,92.30,
Germany,Germany,ten_05a348f95a9a8e3e2cad,2025-12-22,Bundesinstitut für Berufsbildung,"Rahmenverträge Digitale Kommunikation: Relaunch Website, Design, Hosting, Support und Weiterentwicklung",72400000,open,OPEN_PUBLIC,Website support / accessibility / hosting,Web / digital,DIGITAL_REMOTE_LIKELY,EUR,10581200.0,0.0,91.76,
Ireland,Ireland,ten_29b0faba213a13ebd705,2025-10-16,Institute of Public Administration,Single Party Framework for the provision of Irish language Training to the Public Service.,79530000.0,Open Procedure,OPEN_PUBLIC,Translation,Language / transcription,DIGITAL_REMOTE_LIKELY,EUR,6000000.0,1.0,91.76,https://ted.europa.eu/en/notice/-/detail/741850-2025
United Kingdom,United Kingdom,ten_805c6fb1a7478157404c,2024-07-08,Hyde Housing Association Ltd,Vending Services Framework,42933000,Open procedure,OPEN_PUBLIC,Website support / accessibility / hosting,Web / digital,DIGITAL_REMOTE_LIKELY,GBP,5000000.0,1.0,91.76,
United Kingdom,United Kingdom,ten_a9be33b8cac99d1ddb08,2025-06-12,"LEIDOS SUPPLY, LIMITED",LSL/GS/0121 - The Supply of Ropes - Tender Notice - PA23,,Open procedure,OPEN_PUBLIC,Website support / accessibility / hosting,Web / digital,DIGITAL_REMOTE_LIKELY,GBP,4050000.0,1.0,91.76,
Germany,Germany,ten_f835100ed1c0e10451bb,2025-07-08,"Bundesrepublik Deutschland, vertreten durch das Bundesministerium des Innern und für Heimat, vertreten durch das Beschaffungsamt des BMI","Technischer Support, Entwicklung und Beratung für www.bpb.de sowie weitere Websites der BpB",72000000,open,OPEN_PUBLIC,Website support / accessibility / hosting,Web / digital,DIGITAL_REMOTE_LIKELY,EUR,2800000.0,1.0,91.76,
