broad_family,records,buyers,median_value,median_bidders,avg_priority,open_world_candidates
Other / unknown,8998251,2370,499.94,3.0,38.51956310176278,0
Healthcare / medical,1681755,1280,402.74,1.0,38.62902522662338,0
Office / administrative goods,1114561,1660,160.0,1.0,50.699808283261305,162766
Facilities / cleaning / maintenance,775221,2071,235.28,2.0,35.744454136304356,0
Laboratory / scientific,773665,1424,380.77,28.0,38.207556733211405,0
Other goods / resale,457035,1814,1443.5349999999999,3.0,39.68105510518888,455241
Transport / logistics,341449,2013,15891.51,10.0,39.676018966229215,0
Creative / communications / print,319761,2062,508.54499999999996,3.0,53.69210666716704,226936
Hardware / AV / electronics,278841,1620,449.68,2.0,39.544609938997496,258706
IT / software / cyber,230076,2094,40757.425,2.0,58.093733375058676,208971
Construction / works,197398,1612,2872.5649999999996,3.0,37.69127255595295,0
Other services,107425,2021,39188.854999999996,1.0,50.631037281824526,0
Food / catering,83988,461,800.13,1.0,39.65833476210887,0
Architecture / engineering,71980,1535,298609.33,2.0,50.338977771603226,0
Training / education,58553,1745,23589.86,1.0,54.25844619404642,56906
Energy / utilities,56485,752,193.31,8.0,39.08800495706825,0
Property / real estate,56392,1200,230.65,15.0,40.40275641935026,0
Consulting / research / audit,55042,1382,249175.0,2.0,60.144937320591545,52598
Environment / waste,48847,1087,8378.0,2.0,43.23023072041272,0
Staffing / HR,43425,1372,18231.735,3.0,50.37391318364997,0
Events / exhibitions,40386,1409,547.8,1.0,42.614671420789385,0
Language / transcription,24709,714,2952.0,1.0,74.47927880529362,429
Security / safety,10268,1018,30986.0,2.0,47.62940397350993,0
Document / data processing,8933,560,202.8,2.0,66.56796596887943,1921
Web / digital,7871,508,2206.58,2.0,55.841677042307204,6276
