lean_lane,route_band,currency,records,buyers,median_value,p25_value,p75_value,median_bidders,avg_priority
OTHER / OPEN WORLD,AWARD_FIRST_EVIDENCE,USD,14673043,2800,528.24,150.4,3246.0775,3.0,39.13980289978023
Office supplies / consumables resale,AWARD_FIRST_EVIDENCE,USD,1034065,1105,135.0,46.75,430.42,1.0,53.80443993365988
Hardware / AV resale,AWARD_FIRST_EVIDENCE,USD,33578,1514,4907.07,613.2,58970.024999999994,2.0,61.57221573649413
Call centre / helpdesk operations,AWARD_FIRST_EVIDENCE,USD,31858,1129,28294.6,4814.46,116445.0,2.0,61.162225500659176
Translation,AWARD_FIRST_EVIDENCE,USD,23131,631,2508.0,390.0,14258.48,1.0,74.52410271929445
Data entry / clerical processing,AWARD_FIRST_EVIDENCE,USD,12801,131,146.4,81.12,304.2,2.0,65.91315365987032
Transcription / captioning,AWARD_FIRST_EVIDENCE,USD,8541,310,181.44,72.68,868.69,2.0,59.83892518440464
Software licences / SaaS resale,AWARD_FIRST_EVIDENCE,USD,8100,722,88180.66,27825.145,350611.6075,1.0,78.49020246913581
Uniforms / PPE resale,AWARD_FIRST_EVIDENCE,USD,4887,562,11858.5,129.5,64707.740000000005,1.0,59.61201555146307
Courier / mail fulfilment,AWARD_FIRST_EVIDENCE,USD,3206,517,14155.634999999998,1500.0,112464.0675,1.0,56.396350592638804
Recruitment / temporary staffing,AWARD_FIRST_EVIDENCE,USD,1809,236,147.98,19.04,121698.31999999999,3.0,56.62750690989497
Survey / market research,AWARD_FIRST_EVIDENCE,USD,1725,304,68376.5,12666.5,315493.28,2.0,72.55286956521739
Training / e-learning,AWARD_FIRST_EVIDENCE,USD,1161,360,259310.07,62078.0,1471680.0,1.0,76.36913006029285
Website support / accessibility / hosting,AWARD_FIRST_EVIDENCE,USD,828,221,356673.65,86369.5,1733894.065,1.0,80.55130434782609
Signage / display production,AWARD_FIRST_EVIDENCE,USD,814,293,38367.835,12225.2975,175575.125,2.0,71.24597051597051
Document digitization / OCR / scanning,AWARD_FIRST_EVIDENCE,USD,416,176,129436.905,26982.6,834315.265,1.0,78.34346153846154
Video production / post-production,AWARD_FIRST_EVIDENCE,USD,355,138,88674.06,16452.095,1477101.395,1.0,72.07284507042253
Cloud / hosting / managed IT,AWARD_FIRST_EVIDENCE,USD,303,106,521756.76,79242.72,3257321.84,1.0,67.66765676567657
Social media / community management,AWARD_FIRST_EVIDENCE,USD,296,164,138321.375,30340.875,416468.355,1.5,79.13391891891892
Website / CMS build or redesign,AWARD_FIRST_EVIDENCE,USD,293,147,91635.0,17182.31,359810.94,1.0,80.32546075085324
Printing / mailing / routing,AWARD_FIRST_EVIDENCE,USD,265,105,3113.7,0.0,30000.0,1.0,69.4914716981132
Graphic design / layout / DTP,AWARD_FIRST_EVIDENCE,USD,216,115,57811.65,14615.66,248275.81000000003,1.0,75.72435185185185
Promotional merchandise,AWARD_FIRST_EVIDENCE,USD,208,64,39944.0,8728.150000000001,127385.15,2.0,72.26423076923076
Event support / production,AWARD_FIRST_EVIDENCE,USD,200,96,74586.745,23836.5925,315463.7525,2.0,65.7964
Media / press monitoring,AWARD_FIRST_EVIDENCE,USD,170,106,50587.9,19879.9025,128068.4375,2.0,77.11188235294118
SEO / digital marketing,AWARD_FIRST_EVIDENCE,USD,39,29,130085.52,26378.93,549378.49,2.0,77.56461538461538
Report / publication production,AWARD_FIRST_EVIDENCE,USD,9,7,52304.99,25000.0,139000.0,4.0,73.66
