warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,avg_priority
USASPENDING_V1,USA,Web / digital,541512,"igf::ot::igf  tricare online (tol) tier iii sustainment is to maintain tol, as the military health systems (mhs) patient",1,22475186.29,1.0,69.88
USASPENDING_V1,USA,Web / digital,236220,"award of <n>pk<n>c<n>, otay mesa pedestrian walkway replacement, u.s. land port of entry- otay mesa main building, <n> p",1,3072945.76,1.0,69.88
USASPENDING_V1,USA,Web / digital,541512,contract to provide employees compensation operations and management portal (ecomp) support services for the department ,1,56083678.7,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,ofam<n> c <n>.  grants closeout support services,1,2555265.27,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,contract closeout support for the operations acquisition division,1,4939839.64,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,closeout and reconciliation support services,1,3949568.37,1.0,69.88
USASPENDING_V1,USA,Web / digital,541519,"igf::cl::igf for closely associated - web enhancement design, development, implementation, operation, and maintenance of",1,15425229.65,1.0,69.88
USASPENDING_V1,USA,Web / digital,541330,igf::ot::igf  efast pa <n>-<n>-cs nas defense programs support in support of nas security and enterprise operations (nas,1,4050099.55,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,op closeout contract services,1,2269720.3,1.0,69.88
USASPENDING_V1,USA,Web / digital,325120,nasa agency-wide supply of gaseous and liquid helium with messer for the nasa balloon operations contract at the columbi,1,4705027.4,1.0,69.88
USASPENDING_V1,USA,Web / digital,336411,admin mod for closeout.  miscellaneous communication equipment,1,114843662.57,1.0,69.88
USASPENDING_V1,USA,Language / transcription,541611,language services,1,6071742.41,1.0,69.88
USASPENDING_V1,USA,Web / digital,541511,"development and replacement of the aging, independence, and disability program data portal (agid <n>.<n>",1,2995047.11,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,"igf::ot::igf  the contractor shall provide technical programmatic support services for na-mb-<n>.<n>, to include:  <n>. ",1,3181606.16,1.0,69.88
USASPENDING_V1,USA,Web / digital,541512,web access security subsystem(wass) contract: security utility for the hud enterprise portal. igf::ot::igf,1,3999042.36,1.0,69.88
USASPENDING_V1,USA,Web / digital,561621,purchase and installation of z-portal system and option year maintenance,1,2732763.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541512,eo<n> - uc portal,1,4449887.8,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,reconciliation and closeout support services,1,4834031.94,1.0,69.88
USASPENDING_V1,USA,Web / digital,541513,healthcare digital platform physical,1,2491254.69,1.0,69.88
USASPENDING_V1,USA,Language / transcription,541611,igf::cl::igf travel management support to the office of language services.,1,9365955.2,1.0,69.88
USASPENDING_V1,USA,Web / digital,488310,"igf::ot::igf nseod watercraft operations, maintenance",1,3109283.23,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,contract closeout and reconciliation support,1,2224483.0,1.0,69.88
USASPENDING_V1,USA,Language / transcription,541714,the <n>th medical wing science and technology office requires technical and professional support services in support of ,1,5654404.31,1.0,69.88
USASPENDING_V1,USA,Web / digital,325180,neodymium oxide (nd<n>o<n>) and praseodymium oxide (pr<n>o<n>),1,10986002.7,1.0,69.88
USASPENDING_V1,USA,Web / digital,334517,lease of z-portal backscatter inspection system for trucks and cargo,1,4911994.81,1.0,69.88
USASPENDING_V1,USA,Language / transcription,541720,support translational and operational science and technology advance to improve cdc,1,2205550.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541990,ofr contract closeout support,1,10472030.32,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,"services, policy, e-business, & closeout support",1,10736471.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,igf::ct::igf this is a firm-fixed price contract for contract closeout support services.,1,2790602.4,1.0,69.88
USASPENDING_V1,USA,Web / digital,541712,"igf::ct::igf ct <n>-<n> portal development, test, and hosting for department of defense (dod) federal voting assistance ",1,3795393.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,561210,baseops services,1,92349452.93,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,"the contractor shall provide on-site, administrative and contract closeout support services to the centers for medicare&",1,6619302.53,1.0,69.88
USASPENDING_V1,USA,Web / digital,541519,ko portal (b-kop) sustainment support,1,2738558.4,1.0,69.88
USASPENDING_V1,USA,Web / digital,488210,the federal railroad administration (fra) seeks the development of testing and validation of mobile railcar inspection p,1,2563479.96,1.0,69.88
USASPENDING_V1,USA,Web / digital,541330,"usaid has many physically complete contracts, grants, and cooperative agreements (together referred to as awards). these",1,5381378.91,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,the contractor shall provide various on-site and contracting officer representative (cor) approved off-site (also referr,1,4347057.38,1.0,69.88
USASPENDING_V1,USA,Web / digital,221121,ovec: this is a fixed unit rate contract to provide electric utility service for the portsmouth gaseous diffusion plant ,1,220733258.75,1.0,69.88
USASPENDING_V1,USA,Web / digital,561210,"custodial, grounds, and maintenance services at the el portal.  services at catalina are limited to custodial and a/c ma",1,3256239.04,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,the purpose of this requirement is to award the <n> closeout support services contract.,1,3405405.84,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,unaccompanied alien children (uac) portal program support,1,4999980.25,1.0,69.88
USASPENDING_V1,USA,Web / digital,541511,the task order supports the education stabilization fund (esf) transparency portal which provides data management and st,1,5657260.89,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,digital platform maintenance and limited enhancement and strategic digital program management,1,10143794.74,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,eeo data collection and closeout activities: eeo-<n>; eeo-<n>; eeo-<n> and eeo-<n> (fy <n> - fy <n>),1,2808432.28,1.0,69.88
USASPENDING_V1,USA,Web / digital,516110,renewal of usagm mw transmission services by far east broadcasting company-korea from seoul and jeju.,1,3197683.08,1.0,69.88
USASPENDING_V1,USA,Web / digital,541511,cost and performance portal (cpp),1,9115206.1,1.0,69.88
USASPENDING_V1,USA,Web / digital,325120,ssc delivery order (do) for gaseous helium (ghe),1,5587297.36,1.0,69.88
USASPENDING_V1,USA,Web / digital,325120,nasa agency-wide supply of gaseous and liquid helium with linde for the nasa balloon operations contract at csbf.,1,2042680.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541512,"integrated enterprise contract (iep) the iep provides fully integrated core services,  it infrastructure, operations, se",1,196438630.97,1.0,69.88
USASPENDING_V1,USA,Web / digital,541513,"contractor support  dme (momentum, eacquisitions, vendor portal, fpng) pop <n>/<n>/<n> - <n>/<n>/<n>",1,9087866.4,1.0,69.88
USASPENDING_V1,USA,Web / digital,561621,security system install - k<n>/seoul,1,2497432.33,1.0,69.88
USASPENDING_V1,USA,Web / digital,519130,clinical portal of medical information,1,21817191.83,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,single application portal (sap) support,1,3057783.2,1.0,69.88
USASPENDING_V1,USA,Web / digital,334517,the purpose of this contract is to purchase multi energy portal systems and services.,1,14993662.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,541330,base - epr portal support,1,20390362.04,1.0,69.88
USASPENDING_V1,USA,Web / digital,333923,modify two <n>/<n> ton portal cranes at norfolk naval shipyard (nnsy) for support of pier side special purpose service (,1,4798894.78,1.0,69.88
USASPENDING_V1,USA,Web / digital,541519,n<n>c open data portal and community engagement support services for ncats (covid-<n> action),1,5895541.44,1.0,69.88
USASPENDING_V1,USA,Web / digital,541611,coast guard credentialing opportunities portal analysis support services,1,3214015.79,1.0,69.88
USASPENDING_V1,USA,Web / digital,334517,low energy portal system,1,10622738.0,1.0,69.88
USASPENDING_V1,USA,Web / digital,511210,ntp hl pacs stat portal & analytics,1,2271811.22,1.0,69.88
