rank	candidate_id	title	buyer	deadline	value	currency	band	reasons	scope_dce	deep_batch
1	TED:570642-2026	Germany – Security software package – Erneuerung Citrix NetScaler (Web Application Firewall) im SAP-Kontext	Technische Universität Darmstadt	2026-09-04T23:59:59+02:00			HOT	web-application	n erbetenen, personenbezogenen Angaben werden im Rahmen des Vergabeverfahrens verarbeitet und gespeichert. Ihre Angaben sind Voraussetzung f	batch-000.json
2	TED:571314-2026	Belgium – Mapping software development services – Développement d’un outil de prévision et de notification de risques de crues soudaines par ruissellement	Service public de wallonie	2026-09-08T12:00:00+02:00			GOOD	software-development	juillet 2026 par la Ministre Préambule Ce document se compose de 3 parties : Partie 1 : les clauses administratives essentielles pour permet	batch-000.json
3	TED:571964-2026	Ireland – IT services: consulting, software development, Internet and support – Website and App Accessibility Audit Solution	Department of Housing Local Government and Heritage	2026-09-08T12:00:00+01:00	350000.0	EUR	GOOD	software-development,it-services	===== FILE: files/2192_8860090_unpacked/1_Website and App Accessibility RFT Final.pdf ===== Request for Tenders dated 17th August 2026 for t	batch-000.json
4	TED:570451-2026	Ireland – IT services: consulting, software development, Internet and support – 9191 INTERNAL COMMUNICATIONS PLATFORM	Iarnród Eireann-Irish Rail	2026-09-04T12:00:00+01:00	850000.0	EUR	GOOD	software-development,it-services	of Notices #Addenda ID 1 Status Published Title Contract notice - sectoral directive, standard regime File Associated :<8854762_Contract not	batch-000.json
5	TED:571373-2026	Ireland – Software supply services – 369-26 Single Party Framework Agreement for Veterinary Clinical Skills, Simulation and Immersive Learning Platform for Atlantic Technological University	Atlantic Technological University	2026-09-07T12:00:00+01:00	1500000.0	EUR	GOOD	e-learning	lection criteria, minimum rules and weightings specified in the Qualification Questionnaire. Applicants should note the following conditions	batch-000.json
6	TED:569485-2026	Germany – IT services: consulting, software development, Internet and support – Rahmenvertrag für Wartung, Support und Weiterentwicklung der bei IT.NRW bestehenden Jitsi-Umgebung	Landesbetrieb Information und Technik NRW	2026-09-09T23:59:59+02:00			GOOD	software-development,it-services	der Angebotsfrist Ende der Bindefrist 09.09.2026 18.09.2026, 12:00 Uhr 30.11.2026 Anfrage zur Angebotsabgabe ☐ Ihr Teilnahmeantrag/Ihre Inte	batch-000.json
7	TED:571338-2026	Germany – IT services: consulting, software development, Internet and support – ISGA-Portal Weiterentwicklung und Support	Landesamt für Umwelt	2026-08-19T23:59:59+02:00			GOOD	software-development,it-services	www.lfu.rlp.de 17.08.2026 Mein Aktenzeichen LfU_13_15/2026 Bitte immer angeben! Ihr Schreiben vom Ansprechpartner/-in / E-Mail Telefon / Fax	batch-000.json
8	IE:8853905	369-26 Single Party Framework Agreement for Veterinary Clinical Skills, Simulation and Immersive Learning Platform for Atlantic Technological University	Atlantic Technological University	2026-09-17T12:00:00+01:00		EUR	GOOD	e-learning	lection criteria, minimum rules and weightings specified in the Qualification Questionnaire. Applicants should note the following conditions	batch-000.json
9	ZA_ETENDERS_OCDS:ocds-9t57fa-165796-2026-08-17	SENT/022/2026-27	Sentech Limited	2026-09-08T12:00:00+00:00		ZAR	GOOD	website-development	ustrial Participation Programme.pdf ===== SBD 5 This document must be signed and submitted together with your bid THE NATIONAL INDUSTRIAL PA	batch-000.json
10	US-SAM:567967df0d8441948217f01fd22135ec	R/V Caretta Shipyard Repairs	COMMERCE, DEPARTMENT OF	2026-08-31T19:00:00+00:00			GOOD	web-portal	SOLICITATION INFORMATION CALL: a. NAME b. TELEPHONE NUMBER (No collect calls) 8. OFFER DUE DATE/ LOCAL TIME 9. ISSUED BY 13b. RATING 14. MET	batch-000.json
11	ZA_ETENDERS_OCDS:ocds-9t57fa-165790-2026-08-17	IZIKO-RFQ-R and E 17/08/2026	Iziko Museums of Cape Town	2026-09-01T11:00:00+00:00		ZAR	GOOD	graphic-design	in every respect: 3.1. I have read and I understand the contents of this disclosure; 3.2. I understand that the accompanying bid will be dis	batch-001.json
12	US-SAM:1fee13009b544bd5b57d2afca7d94a4f	SV26.2 Linehaul, MHE, AGWASH Services	DEPT OF DEFENSE	2026-08-18T21:00:00+00:00			GOOD	it-training,lms	rrival timeline and the subsequent movement of assets from Tarapoto Airport to the 5th BDE HQ. The ﬁve (5) separate one-day operations refer	batch-001.json
13	ZA_ETENDERS_OCDS:ocds-9t57fa-165330-2026-08-12	RFQ/021/2026/27	BRAND RSA	2026-08-19T16:00:00+00:00		ZAR	GOOD	brand-identity,training-services	ess and the non-government sector. Brand South Africa 103 Central Street, Houghton, Gauteng, South Africa | PO Box 87168, Houghton, 2041, Ga	batch-001.json
14	US-SAM:9e82a4b5a8f04ebc9edf09438564a6f7	EUR/Athens - Electric Scissor and Compact Crawler Boom Lifts	STATE, DEPARTMENT OF	2026-09-04T11:00:00+00:00			GOOD	e-learning	TO CODE 16 . ADMINISTERED BY CODE Same as block 9 Same as block 7(a) 17a. CONTRACTOR / CODE OFFEROR FACILITY CODE 18a. PAYMENT WILL BE MADE 	batch-001.json
