family,country,currency,tender_id,buyer,title,value,bidders,procedure,rn
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_dcb574de5e40a51682ab0c98,Centre Hospitalier Universitaire de Liège,FOURNITURE DE PRODUITS LESSIVIELS ET DE PRODUITS D’ENTRETIEN POUR LES CUISINES DU CHU DE LIÈGE POUR UNE DURÉE DE 4 ANS   (MARCHÉ STRUCTURÉ EN 2 LOTS),,,,1
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_819a7980dc7838c73a7eada4,Association Intercommunale de Soins et d'Hospitalisation,Fourniture de produits d’entretien et lessiviels pour les cuisines et location de matériel connexe.,,,,2
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_500e04ab224b4538f8be9bfd,Chapelle-Lez-Herlaimont,Accord-cadre - Achat de produits d'entretien et de matériel d'entretien,,,,3
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_7c6b774a7c40d3c72730fab2,Commune d'Amay,Marché annuel 2026-2029 - Produits d'entretien,,,,4
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_8f25d8a722b25b268eba99d0,La Louvière,Accord-cadre relatif à la fourniture de produits d'entretien et petit matériel (Ville),,,,5
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_d67e0ac5d8d2574bd6f5ac96,Service achats,"Accord cadre pour la fourniture de bandeaux de lavage , lavettes , produits d'entretien et petit matériel .",,,,6
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_6f372e83629a4208b8323bee,Centre Hospitalier Peltzer-La Tourelle,Marché de fourniture relatif à la fourniture de matériel et de produits d’entretien,,,,7
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_a10300f64bbe8b84e1488c53,Centre Hospitalier Universitaire de Liège,FOURNITURE DE PRODUITS LESSIVIELS ET DE PRODUITS D’ENTRETIEN POUR LES CUISINES DU CHU DE LIÈGE POUR UNE DURÉE DE 4 ANS (MARCHÉ STRUCTURÉ EN 2 LOTS),,,,8
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_d3fd51b8dda3742a753a9b1c,CPAS de Quaregnon,Accord-cadre pour la fourniture de matériel et de produits d'entretien,,,,9
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_56ea5968d203ddc60612d8f6,Régie Communale Autonome de Charleroi,"Conduite des installations techniques, fourniture des produits d'entretien, de traitement et de filtration des eaux de la piscine du centre sportif Yernaux et des eaux sanitaires et garantie totale de toutes les installations techniques de la piscine, y compris la partie administrative et la cafétéria",,,,10
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_3becebe3ed870bcb9e30f8ae,Fédération des Mutualités Socialistes du Luxembourg,Achat produits d'entretien et accessoires de nettoyage,,,,11
CLEANING_CONSUMABLE_SUPPLY,BE,,bel_8c67effd6a085107b5f3b55b,Juprelle,Fourniture de matériel et de produits d'entretien,,,,12
CLEANING_CONSUMABLE_SUPPLY,CHE,,ted_20c263517a579f0b8840,Centrale municipale d'achat et d'impression,Marché d'acquisition de fournitures et de matériel de nettoyage destinés au personnel chargé du nettoyage au sein de la Ville de Genève et de la Ville de Carouge.,,,,1
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_cd9d8a3b176d7c9e2cf8,Correctional Service of Canada (CSC),Fall Protection Vocational Training,,,Competitive - Open bidding,1
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_a9136ae006f90ece31cc,Correctional Service of Canada (CSC),Standard First Aid and Cardiopulmonary Resuscitation (CPR) with Automated External Defibrillator (AED) – Vocational Training for Offenders,,,Competitive - Open bidding,2
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_84ffb7efa6b6593f0d00,Correctional Service of Canada (CSC),Vocational Training for offenders - Forklift and Mobile Elevated Work Platform (MEWP) Operator,,,Competitive - Open bidding,3
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_0db7472c82d61526836b,Department of Public Works and Government Services (PSPC),"EC095-250010 - RMSO Kitchen Items, Non-Food",,,Competitive - Open bidding,4
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_99332441c079582d816e,Correctional Service of Canada (CSC),Cleaning Services in an institution,,,Competitive - Open bidding,5
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_9dc2d5b7f06c89a1b827,Correctional Service of Canada (CSC),Confined Spaces - Vocational Training - Fraser Valley & WHI,,,Competitive - Open bidding,6
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_12271d9ca7b1a0bf3efb,Department of Public Works and Government Services (PSPC),M5000-244047 Custodial Cleaning supplies-B,,,Competitive - Open bidding,7
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_43e9e2b9d4be722ebd96,Department of Public Works and Government Services (PSPC),"W4299-24GW02 Janitorial Services - Cadet Training Centre, Greenwood Nova Scotia",,,Competitive - Open bidding,8
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_6dbaea969ee3196f5845,Correctional Service Canada,"First Aid, CPR and AED vocational training for offenders",,,Competitive - Open bidding,9
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_1ac07e462591b2532d09,"Department of Foreign Affairs, Trade and Development Canada",Cleaning and Disinfecting Services for the Canada Pavilion at Expo 2025 Osaka,,,Competitive - Open bidding,10
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_e65078983947d633cd0d,Department of Public Works and Government Services (PSPC),5P437-240413 - Janitorial Supplies - Pacific Rim,,,Competitive - Open bidding,11
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,ten_29bcbed61925de02b7fc,"Department of Foreign Affairs, Trade and Development Canada",Cleaning Services for the Embassy of Canada to Guatemala in Guatemala City,,,Competitive - Open bidding,12
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_57ec932d6d2d574df1b2,Comité de négociations d'achats regroupés de Chaudière-Appalaches (CNAR 03-12),Produits d'entretien ménager,6684999.0,5.0,Avis d’appel d’offres,1
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_99388fc8440e129072e9,Centre universitaire de santé McGill.,Produits d'entretien et lavage des services alimentaires,334399.0,4.0,Avis d’appel d’offres,2
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_6443d639bcf6fd3d5692,Centre de services scolaire des Rives-du-Saguenay,Acquisition de produits d'entretien - Sacs à déchets,,3.0,Contrat à la suite d'un appel d’offres sur invitation,3
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_a9e1143232042e68c31d,Centre de services scolaire des Rives-du-Saguenay,Acquisition de produits d'entretien - Savons,,3.0,Contrat à la suite d'un appel d’offres sur invitation,4
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_d86b8613bae270d0bcfe,CENTRE DE SERVICES SCOLAIRE DE L’OR-ET-DES-BOIS,Achat de produits d'entretien ménager,,1.0,Contrat de gré à gré,5
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_6c4c5c59717621c6a94b,CENTRE DE SERVICES SCOLAIRE DE L’OR-ET-DES-BOIS,Achat de produits d'entretien ménager,,1.0,Contrat de gré à gré,6
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_56aa393c9b0b63423b48,Cégep de Rivière-du-Loup.,Produits d'entretien ménager,,1.0,Contrat de gré à gré,7
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_d47694b7758305bbbce2,Loto-Québec .,"25-538 (CC) Fourniture de produits de nettoyage pour le lavage de la vaisselle ainsi que de produits d'entretien divers pour les cuisines des casinos de Montréal, du Lac-Leamy et de Mont-Tremblant",,1.0,Avis d’appel d’offres,8
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_ade2c7cb5ed0295f1300,Ville de Saint-Constant.,FOURNITURE ET LIVRAISON DE PRODUITS D'ENTRETIEN POUR LE COMPLEXE AQUATIQUE DE SAINT-CONSTANT,,1.0,Contrat de gré à gré,9
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_f3fc4b84336be7f29f33,SANTÉ QUÉBEC - Centre Hospitalier de l'Université de Montréal (CHUM),PRODUITS D'ENTRETIEN SERVICE ALIMENTAIRE,,1.0,Contrat de gré à gré,10
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_dcfcc5d1a1d81b21408f,Ville de Sept-Îles,Fourniture de produits d'entretien ménager du 1er août 2025 au 31 juillet 2026,,1.0,Contrat de gré à gré,11
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,ten_9eb587fb5ee0484d1216,Université Laval,Main d’œuvre et fournitures pour nettoyage de la piscine olympique et la pataugeoire du Super Peps,,1.0,Contrat de gré à gré,12
CLEANING_CONSUMABLE_SUPPLY,FI,,ted_2cb2527b612ea753b67d,Jyväskylän kaupunki,HANK Puhtaanapidon tarvikkeet,,,,1
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_e4eecd98cdefd5a261ad,Hansel Oy,Puhtaanapidon tarvikkeet 2024-2026 (2028),100000000.0,,,1
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_4d4abca95c3b720fa845,Hansel Oy,Puhtaanapidon tarvikkeet 2024-2026 (2028),100000000.0,,,2
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_c3fef8866c9ebcc804bf,Sarastia Oy,Puhtaanapidon tarvikkeet,26199225.0,,,3
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_d3f0152a42fef6ff3a9c,Sarastia Oy,Puhtaanapidon tarvikkeet,26199225.0,,,4
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_f6b589d532013b2b2229,Länsi-Uudenmaan hyvinvointialue,Puhtaanapidon tarvikkeet,3608000.0,,,5
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_30874c57b069e9381bdc,Jyväskylän kaupunki,HANK Puhtaanapidon tarvikkeet,1500000.0,,,6
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_463cc50cbed0ef18f502,Turun kaupunki,"Tietopyyntö: Puhtaanapidon tarvikkeet, pesu- ja puhdistusaineet, jätesäkit ja pehmopaperit",1344000.0,,,7
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,ted_ccf64f79e3b730482f98,Turun kaupunki,"Tietopyyntö: Puhtaanapidon tarvikkeet, pesu- ja puhdistusaineet, jätesäkit ja pehmopaperit",1344000.0,,,8
CLEANING_CONSUMABLE_SUPPLY,FIN,,ted_0acd3eacf2cddf5723de,TeeSe Botnia Oy Ab,Puhtaanapidon tarvikkeet,,,,1
CLEANING_CONSUMABLE_SUPPLY,FIN,,ted_e2ecbf656e826aa4c523,Turun kaupunki,Puhtaanapidon tarvikkeet Turun kaupungille 1.5.2024 alkaen,,,,2
CLEANING_CONSUMABLE_SUPPLY,FIN,,ted_0d760b5aa49e86c1980e,Jyväskylän kaupunki,HANK Puhtaanapidon tarvikkeet,,,,3
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_fce82d2f41a96bed1817,Marchés publics,"FOURNITURE ET LIVRAISON DE CONSOMMABLES, PRODUITS ET MATERIELS D'ENTRETIEN POUR LA COMMUNE DE VANDŒUVRE",,,OUVERT/,1
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_06a7d618dcc5e0d2c4b6,Communauté d'Agglomération de La Rochelle,FOURNITURE DE PRODUITS ET MATERIELS D'ENTRETIEN ET D'HYGIENE,,,OUVERT/,2
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_d2eccc06757f6ab614fd,COMMUNE DE ETAPLES,"Fourniture de produits d'entretien et de vaisselle à usage unique, emballage, consommables et arts de la table pour les besoins de la Ville et du CCAS d'Etaples-sur-mer (en groupement de commandes)",,,OUVERT/,3
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_f3b856df915a86d8313e,Communauté Urbaine de Dunkerque,"Fourniture de Produits et petits matériels d’entretien, brosserie, ouate et prestations associées",,,OUVERT/,4
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_742cb30c947b75ed7f75,Ville de Lille,"Fourniture de matériels motorisés de nettoyage, accessoires et pièces détachées, et prestations de maintenance",,,OUVERT/,5
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_89280b0a902df591a71a,Ville de Châtenay-Malabry,Fourniture de produits et de petits matériels d’entretien pour les cuisines avec mise à disposition des doseurs et centrales de nettoyage,,,OUVERT/,6
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_bf4d7a296dfbda028711,CEREMA,PRESTATIONS DE NETTOYAGE DES LOCAUX ET FOURNITURES DES CONSOMMABLES SANITAIRES,,,AUTRE/,7
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_374e16e87be450da9454,Siel Territoire d'énergie Loire,Accord-cadre de fournitures courantes de bureau et de produits sanitaires,,,OUVERT/,8
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_ed652e7847a3e6663a4c,Euro-Métropole de Metz,ACQUISITION DE PRODUITS D'ESSUYAGE ET D'HYGIENE DES MAINS,,,OUVERT/,9
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_e28c3a28a08ef6c65f66,Bordeaux Métropole,"ACQUISITION DE PRODUITS, CONSOMMABLES ET PETITS MATERIELS DESTINES A L'ENTRETIEN ET A L'HYGIENE DANS LE CADRE DE LA CENTRALE D'ACHATS METROPOLITAINE",,,OUVERT/,10
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_ee21964943309df4b5b9,Commune d'Annonay,"Acquisition de fournitures de produits d'entretien et d'hygiène pour la Ville d'Annonay, le Centre Communal d'Action Sociale de la Ville d'Annonay, Annonay Rhône Agglo et le Centre Intercommunal d'Act",,,OUVERT/,11
CLEANING_CONSUMABLE_SUPPLY,France,EUR,ten_49e56d43e719e33ec549,Département des Hauts-de-Seine,Fourniture de petits matériels et de consommables d'entretien et d'hygiène,,,OUVERT/,12
CLEANING_CONSUMABLE_SUPPLY,GP,,ted_8f0baa9d4fc8e9f1a4ee,routes de Guadeloupe,nettoyage des locaux incluant la fourniture de produits d'entretien et consommables pour les sites du syndicat mixte Routes de Guadeloupe,,,,1
CLEANING_CONSUMABLE_SUPPLY,Germany,EUR,ten_ffdd92e6ae9fb8d97c95,Stadt Landshut,Rahmenvereinbarung für Reinigungs- und Verbrauchsmaterial der Stadt Landshut,1118372.0,,open,1
CLEANING_CONSUMABLE_SUPPLY,Germany,EUR,ten_df1b7e7b8751a5695cc6,Finanzbehörde Hamburg,Lieferung von Reinigungsmitteln für die FHH,475121.0,,open,2
CLEANING_CONSUMABLE_SUPPLY,Germany,EUR,ten_fb3e5e5ad2cb69ca6806,Studierendenwerk Niederbayern/Oberpfalz,Rahmenvereinbarung über die Belieferung mit Reinigungsmitteln,435000.0,,open,3
CLEANING_CONSUMABLE_SUPPLY,Germany,EUR,ten_5e88af9e9df5c25e2d24,Landratsamt Ilm-Kreis,Reinigungsmittel Schulen/Sph/Verwaltung,375000.0,,open,4
CLEANING_CONSUMABLE_SUPPLY,Germany,EUR,ten_00cd526444dbef789c14,Berlin Tourismus & Kongress GmbH,Gebäudereinigung (Unterhaltsreinigung/ Sonderreinigung),240000.0,,open,5
