family,country,currency,records,buyers,repeat_buyers,p25_value,median_value,p75_value,median_bidders
CLEANING_CONSUMABLE_SUPPLY,France,EUR,1554,1318,191,,,,
STAFFING_INTERMEDIARY_EXPLICIT,Canada,CAD,375,31,10,,,,
STAFFING_INTERMEDIARY_EXPLICIT,France,EUR,354,302,40,,,,
STAFFING_INTERMEDIARY_EXPLICIT,Germany,EUR,202,74,19,725000.0,1900000.0,16811476.0,
POSTAL_OFFICIAL_FULFILMENT,France,EUR,202,168,26,,,,
CLEANING_CONSUMABLE_SUPPLY,Germany,EUR,120,38,1,375000.0,435000.0,475121.0,
STAFFING_INTERMEDIARY_EXPLICIT,Netherlands,UNKNOWN,116,96,18,,,,
STAFFING_INTERMEDIARY_EXPLICIT,BE,,107,91,0,,,,
CLEANING_CONSUMABLE_SUPPLY,BE,,87,70,0,,,,
SOFTWARE_BROKER_EXPLICIT,Netherlands,UNKNOWN,85,65,17,,,,
SOFTWARE_BROKER_EXPLICIT,Canada,CAD,70,11,4,,,,
CLEANING_CONSUMABLE_SUPPLY,Canada - Quebec,CAD,63,35,13,1922049.0,3509699.0,5097349.0,1.0
SOFTWARE_BROKER_EXPLICIT,United Kingdom,GBP,58,52,6,32500000.0,225000000.0,487500000.0,
STAFFING_INTERMEDIARY_EXPLICIT,Netherlands,EUR,54,53,1,345000.0,2192500.0,7950000.0,
STAFFING_INTERMEDIARY_EXPLICIT,United Kingdom,GBP,52,45,5,2500000.0,10000000.0,110000000.0,
CONSULTANT_BROKER_EXPLICIT,SWE,SEK,49,45,3,16000000.0,60000000.0,260000000.0,
SOFTWARE_BROKER_EXPLICIT,Ireland,EUR,48,10,2,2000000.0,2700000.0,5628417.0,
SOFTWARE_BROKER_EXPLICIT,Germany,EUR,39,18,5,371000.0,1125000.0,13500000.0,
CLEANING_CONSUMABLE_SUPPLY,United Kingdom,GBP,38,37,1,350000.0,550000.0,6200000.0,
SOFTWARE_BROKER_EXPLICIT,Netherlands,EUR,31,30,1,1896500.0,14000000.0,24000000.0,
CLEANING_CONSUMABLE_SUPPLY,Canada,CAD,20,9,3,,,,
STAFFING_INTERMEDIARY_EXPLICIT,Canada - Quebec,CAD,20,10,4,334399.0,334399.0,334399.0,1.0
POSTAL_OFFICIAL_FULFILMENT,BE,,17,14,0,,,,
STAFFING_INTERMEDIARY_EXPLICIT,NOR,NOK,11,8,2,13000000.0,44000000.0,47500000.0,
POSTAL_OFFICIAL_FULFILMENT,Germany,EUR,10,7,1,1468125.5,2936250.0,12025665.0,
STAFFING_INTERMEDIARY_EXPLICIT,NOR,,10,6,0,,,,
SOFTWARE_CLOUD_RESALE_EXPLICIT,FIN,EUR,10,8,2,875000.0,1900000.0,13000000.0,
POSTAL_OFFICIAL_FULFILMENT,Canada - Quebec,CAD,10,4,2,,,,3.0
CLEANING_CONSUMABLE_SUPPLY,FIN,EUR,8,5,3,1461000.0,14903612.5,44649418.75,
SOFTWARE_CLOUD_RESALE_EXPLICIT,FIN,,8,4,0,,,,
