source_label,warehouse_source,country,broad_family,code,title_signature,records,median_value,median_bidders,structural_signal
GLOBAL_CORE_V4,Germany,Germany,IT / software / cyber,72000000,unterstützungsleistungen im bereich der künstlichen intelligenz,23,34000000.0,0.0,86.12
AUSTENDER_V1,AUSTENDER_V1,Australia,Property / real estate,NO_CODE,c<n>,229,1823025.27,,86.02
AUSTENDER_V1,AUSTENDER_V1,Australia,IT / software / cyber,NO_CODE,d<n>,145,780067.59,,84.38
AUSTENDER_V1,AUSTENDER_V1,Australia,Healthcare / medical,NO_CODE,con<n>,252,504669.0,,83.54
AUSTENDER_V1,AUSTENDER_V1,Australia,Staffing / HR,NO_CODE,c<n>,1155,433268.0,,83.25
AUSTENDER_V1,AUSTENDER_V1,Australia,Property / real estate,NO_CODE,,120,387133.86,,83.03
AUSTENDER_V1,AUSTENDER_V1,Australia,Other services,NO_CODE,d<n>,333,382256.16,,83.01
AUSTENDER_V1,AUSTENDER_V1,Australia,Staffing / HR,NO_CODE,con/gaucon/c<n>/<n>,174,374748.0,,82.97
AUSTENDER_V1,AUSTENDER_V1,Australia,Architecture / engineering,NO_CODE,<n>,1506,358427.8,,82.88
AUSTENDER_V1,AUSTENDER_V1,Australia,Other / unknown,NO_CODE,d<n>,3188,356532.0,,82.87
AUSTENDER_V1,AUSTENDER_V1,Australia,Property / real estate,NO_CODE,<n>,962,355932.375,,82.87
AUSTENDER_V1,AUSTENDER_V1,Australia,Other / unknown,NO_CODE,ac<n>,244,336661.2,,82.76
AUSTENDER_V1,AUSTENDER_V1,Australia,Staffing / HR,NO_CODE,con<n>,555,300000.0,,82.54
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,sbir phase ii r&d,12,2168476.0,1.0,80.54
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541715,baa call <n> request for proposal (rfp)  development of non-system specific technology to integrate unmanned aircraft sy,9,861893.0,1.0,76.53
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,561790,<n>!services - basic research,7,1782619.0,1.0,75.9
GLOBAL_CORE_V4,United Kingdom,United Kingdom,IT / software / cyber,85111800,pathology managed service for midlands & east <n> network,6,32000000.0,1.0,74.91
USASPENDING_V1,USASPENDING_V1,USA,Consulting / research / audit,541712,igf::ot::igf     sbir/sttr phase ii r&d,7,999999.92,1.0,74.79
