micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,246,23,9,39.13,,36933.19,64584.0,95000.0,342,1.0,100.0,153,2.92,90.86,88.6
Translation services,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,333,42,16,38.1,,30000.0,45000.0,70000.0,424,1.0,100.0,212,1.4,62.32,88.38
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,66,41,13,31.71,,28640.2725,37979.9,50000.0,81,1.0,100.0,57,7.32,226.06,87.37
Commercial printing / print production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,101,56,21,37.5,,29064.0,37190.35,52984.9,127,1.0,100.0,61,7.63,269.8,84.6
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,38,26,8,30.77,,29953.2,39113.84,72664.2,45,1.0,100.0,26,17.78,656.79,82.99
Market research / surveys / polling,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,146,86,27,31.4,,31531.25,39504.0,54459.847499999996,185,1.0,100.0,57,26.32,943.49,82.54
Media / press monitoring,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,26,15,6,40.0,,28585.877500000002,52260.715,99581.58,27,1.0,100.0,11,18.75,1230.47,79.2
Software licence renewal / licensing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,45,34,10,29.41,,31456.25,50564.2,80174.83499999999,60,1.0,100.0,38,6.67,327.78,78.73
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,92,78,12,15.38,,35000.0,55200.0,144000.0,0,,,88,4.21,127.42,76.28
Video production / editing / motion,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,37,25,4,16.0,,30000.0,41100.0,52787.72,51,1.0,100.0,30,9.8,449.83,76.21
