micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Website maintenance / hosting / support,Canada federal,CANADA,OPEN_PUBLIC,CAD,897,75,49,65.33,,285,108932.0,240044.81,670808.8,0,,,270,2.52,49.64,92.1,OPEN_BID
Website design / redesign / development,Canada federal,CANADA,OPEN_PUBLIC,CAD,377,46,25,54.35,,95,118636.25,237331.0,598120.725,0,,,90,3.92,126.87,90.44,OPEN_BID
Commercial printing / print production,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,68,36,12,33.33,6943899.0,97,40902.4,129800.0,299400.0,98,2.0,22.45,38,10.2,470.64,89.24,OPEN_BID
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,246,23,9,39.13,,343,36933.19,64584.0,95000.0,342,1.0,100.0,153,2.92,90.86,88.6,DIRECT_BUYER
Website maintenance / hosting / support,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,231,47,28,59.57,,96,226728.075,435238.775,831428.125,0,,,60,10.38,341.76,88.51,OPEN_BID
Translation services,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,333,42,16,38.1,,428,30000.0,45000.0,70000.0,424,1.0,100.0,212,1.4,62.32,88.38,DIRECT_BUYER
Market research / surveys / polling,Ireland,IRELAND,OPEN_PUBLIC,EUR,123,39,15,38.46,135000.0,83,63064.5,123750.0,269477.5,83,3.0,19.28,95,8.02,254.96,87.99,OPEN_BID
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,66,41,13,31.71,,82,28640.2725,37979.9,50000.0,81,1.0,100.0,57,7.32,226.06,87.37,DIRECT_BUYER
Website maintenance / hosting / support,Germany,GERMANY,OPEN_PUBLIC,EUR,296,85,13,15.29,1125121.5,52,95525.0,428422.0,822584.3999999999,62,3.5,11.29,73,4.55,162.71,86.96,OPEN_BID
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,204,158,28,17.72,2209726.0,54,49625.0,191734.5,513271.5,34,1.0,67.65,65,3.33,189.93,86.87,OTHER_ROUTE
Graphic design / DTP / visual identity,France,FRANCE,OPEN_PUBLIC,EUR,341,270,40,14.81,,28,104500.0,227000.0,370000.0,0,,,90,1.82,156.92,86.82,OPEN_BID
Commercial printing / print production,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,64,32,11,34.38,99999.0,86,26008.15,32182.0,47633.75,86,1.0,48.84,38,8.14,378.58,86.21,OTHER_ROUTE
Commercial printing / print production,France,FRANCE,OPEN_PUBLIC,EUR,1043,786,170,21.63,,174,200000.0,421000.0,760000.0,0,,,366,1.11,38.04,85.15,OPEN_BID
Market research / surveys / polling,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,52,36,12,33.33,334399.0,53,101036.0,193435.33,404446.16,53,3.0,18.87,17,24.53,1164.12,84.83,OPEN_BID
Website maintenance / hosting / support,Germany,GERMANY,COMPETITIVE_OTHER,EUR,101,66,10,15.15,750000.0,30,5303.25,487327.5,2181323.6525,33,3.0,36.36,36,4.44,311.11,84.72,OPEN_BID
Translation services,Canada federal,CANADA,OPEN_PUBLIC,CAD,60,40,11,27.5,,15,162482.5,265000.0,672180.625,0,,,17,18.52,973.94,84.71,OPEN_BID
Commercial printing / print production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,101,56,21,37.5,,131,29064.0,37190.35,52984.9,127,1.0,100.0,61,7.63,269.8,84.6,DIRECT_BUYER
Website maintenance / hosting / support,France,FRANCE,OPEN_PUBLIC,EUR,298,260,30,11.54,,51,214582.5,398875.0,600000.0,0,,,49,4.65,244.15,84.33,OPEN_BID
Website design / redesign / development,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,84,37,19,51.35,,24,262841.6,607424.935,2054894.83,0,,,23,7.69,473.37,84.24,OPEN_BID
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,185,111,29,26.13,585000.0,55,66519.39,151250.0,322600.0,49,1.5,40.82,44,8.47,311.69,84.01,OTHER_ROUTE
Translation services,France,FRANCE,OPEN_PUBLIC,EUR,151,129,16,12.4,,27,154000.0,240000.0,400000.0,0,,,54,2.86,251.96,83.46,OPEN_BID
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,38,26,8,30.77,,45,29953.2,39113.84,72664.2,45,1.0,100.0,26,17.78,656.79,82.99,DIRECT_BUYER
Translation services,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,25,17,6,35.29,,41,33975.0,45859.0,77150.0,45,2.0,28.89,31,8.89,409.88,82.97,OTHER_ROUTE
Market research / surveys / polling,France,FRANCE,OPEN_PUBLIC,EUR,595,456,84,18.42,,124,205012.5,395631.83499999996,1000000.0,0,,,128,4.31,123.98,82.7,OPEN_BID
Market research / surveys / polling,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,41,22,9,40.91,,55,36425.0,56725.0,72700.0,55,1.0,56.36,15,18.18,1173.55,82.66,OTHER_ROUTE
Market research / surveys / polling,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,146,86,27,31.4,,190,31531.25,39504.0,54459.847499999996,185,1.0,100.0,57,26.32,943.49,82.54,DIRECT_BUYER
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,413,241,43,17.84,647000.0,225,250000.0,656667.99,5000000.0,248,6.0,4.84,351,1.91,44.85,82.43,OPEN_BID
Transcription / speech-to-text,France,FRANCE,OPEN_PUBLIC,EUR,69,63,6,9.52,,13,280000.0,320000.0,550000.0,0,,,12,10.0,933.33,81.96,OPEN_BID
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,89,54,5,9.26,10010000.0,33,54166.0,98000.0,445975.0,32,3.0,15.63,46,9.3,335.81,81.71,OPEN_BID
Graphic design / DTP / visual identity,France,FRANCE,COMPETITIVE_OTHER,EUR,102,79,9,11.39,,8,69150.0,79500.0,172605.0,0,,,11,9.09,909.09,81.58,OPEN_BID
Mailing / fulfilment / routing,France,FRANCE,OPEN_PUBLIC,EUR,301,252,39,15.48,,55,300000.0,500000.0,858691.8,0,,,86,3.33,145.6,81.37,OPEN_BID
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,84,56,13,23.21,25000000.0,67,39391.07,104387.55,248108.875,48,1.0,87.5,66,6.41,193.95,81.36,OTHER_ROUTE
Website design / redesign / development,France,FRANCE,OPEN_PUBLIC,EUR,110,100,9,9.0,,10,173092.25,319000.0,1305192.75,0,,,11,10.0,950.0,81.13,OPEN_BID
Annual report / publication layout-production,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,46,35,5,14.29,4166666.0,19,67048.59,303562.0,1060041.0,15,1.0,100.0,16,10.0,700.0,81.05,OTHER_ROUTE
Translation services,Germany,GERMANY,OPEN_PUBLIC,EUR,12738,70,9,12.86,759557.14,30,286.725,265659.67000000004,566788.0,122,6.0,12.3,41,9.09,348.94,80.8,OPEN_BID
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,25,21,3,14.29,,33,30375.0,42000.0,59777.0,34,1.0,52.94,25,8.82,484.43,80.13,OTHER_ROUTE
Media / press monitoring,Ireland,IRELAND,OPEN_PUBLIC,EUR,31,20,5,25.0,100000.0,17,50000.0,75000.0,150000.0,17,3.0,5.88,6,47.06,3217.99,80.05,OPEN_BID
Translation services,Germany,GERMANY,COMPETITIVE_OTHER,EUR,78,31,9,29.03,185000.0,21,1.0,1.0,1.0,12,4.0,8.33,21,14.81,617.28,79.99,OPEN_BID
Media / press monitoring,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,26,15,6,40.0,,32,28585.877500000002,52260.715,99581.58,27,1.0,100.0,11,18.75,1230.47,79.2,DIRECT_BUYER
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,130,100,15,15.0,393500.0,131,212125.0,542518.06,1000000.0,264,4.0,6.44,312,5.38,145.2,79.17,OPEN_BID
Commercial printing / print production,Canada federal,CANADA,OPEN_PUBLIC,CAD,29,12,6,50.0,,7,139409.89,219117.24,1373527.2349999999,0,,,7,25.0,1562.5,78.83,OPEN_BID
Software licence renewal / licensing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,45,34,10,29.41,,60,31456.25,50564.2,80174.83499999999,60,1.0,100.0,38,6.67,327.78,78.73,DIRECT_BUYER
