micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Website maintenance / hosting / support,Canada federal,CANADA,OPEN_PUBLIC,CAD,897,75,49,65.33,,108932.0,240044.81,670808.8,0,,,270,2.52,49.64,92.1
Website design / redesign / development,Canada federal,CANADA,OPEN_PUBLIC,CAD,377,46,25,54.35,,118636.25,237331.0,598120.725,0,,,90,3.92,126.87,90.44
Commercial printing / print production,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,68,36,12,33.33,6943899.0,40902.4,129800.0,299400.0,98,2.0,22.45,38,10.2,470.64,89.24
Website maintenance / hosting / support,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,231,47,28,59.57,,226728.075,435238.775,831428.125,0,,,60,10.38,341.76,88.51
Market research / surveys / polling,Ireland,IRELAND,OPEN_PUBLIC,EUR,123,39,15,38.46,135000.0,63064.5,123750.0,269477.5,83,3.0,19.28,95,8.02,254.96,87.99
Website maintenance / hosting / support,Germany,GERMANY,OPEN_PUBLIC,EUR,296,85,13,15.29,1125121.5,95525.0,428422.0,822584.3999999999,62,3.5,11.29,73,4.55,162.71,86.96
Graphic design / DTP / visual identity,France,FRANCE,OPEN_PUBLIC,EUR,341,270,40,14.81,,104500.0,227000.0,370000.0,0,,,90,1.82,156.92,86.82
Commercial printing / print production,France,FRANCE,OPEN_PUBLIC,EUR,1043,786,170,21.63,,200000.0,421000.0,760000.0,0,,,366,1.11,38.04,85.15
Market research / surveys / polling,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,52,36,12,33.33,334399.0,101036.0,193435.33,404446.16,53,3.0,18.87,17,24.53,1164.12,84.83
Website maintenance / hosting / support,Germany,GERMANY,COMPETITIVE_OTHER,EUR,101,66,10,15.15,750000.0,5303.25,487327.5,2181323.6525,33,3.0,36.36,36,4.44,311.11,84.72
Translation services,Canada federal,CANADA,OPEN_PUBLIC,CAD,60,40,11,27.5,,162482.5,265000.0,672180.625,0,,,17,18.52,973.94,84.71
Website maintenance / hosting / support,France,FRANCE,OPEN_PUBLIC,EUR,298,260,30,11.54,,214582.5,398875.0,600000.0,0,,,49,4.65,244.15,84.33
Website design / redesign / development,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,84,37,19,51.35,,262841.6,607424.935,2054894.83,0,,,23,7.69,473.37,84.24
Translation services,France,FRANCE,OPEN_PUBLIC,EUR,151,129,16,12.4,,154000.0,240000.0,400000.0,0,,,54,2.86,251.96,83.46
Market research / surveys / polling,France,FRANCE,OPEN_PUBLIC,EUR,595,456,84,18.42,,205012.5,395631.83499999996,1000000.0,0,,,128,4.31,123.98,82.7
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,413,241,43,17.84,647000.0,250000.0,656667.99,5000000.0,248,6.0,4.84,351,1.91,44.85,82.43
Transcription / speech-to-text,France,FRANCE,OPEN_PUBLIC,EUR,69,63,6,9.52,,280000.0,320000.0,550000.0,0,,,12,10.0,933.33,81.96
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,89,54,5,9.26,10010000.0,54166.0,98000.0,445975.0,32,3.0,15.63,46,9.3,335.81,81.71
Graphic design / DTP / visual identity,France,FRANCE,COMPETITIVE_OTHER,EUR,102,79,9,11.39,,69150.0,79500.0,172605.0,0,,,11,9.09,909.09,81.58
Mailing / fulfilment / routing,France,FRANCE,OPEN_PUBLIC,EUR,301,252,39,15.48,,300000.0,500000.0,858691.8,0,,,86,3.33,145.6,81.37
Website design / redesign / development,France,FRANCE,OPEN_PUBLIC,EUR,110,100,9,9.0,,173092.25,319000.0,1305192.75,0,,,11,10.0,950.0,81.13
Translation services,Germany,GERMANY,OPEN_PUBLIC,EUR,12738,70,9,12.86,759557.14,286.725,265659.67000000004,566788.0,122,6.0,12.3,41,9.09,348.94,80.8
Media / press monitoring,Ireland,IRELAND,OPEN_PUBLIC,EUR,31,20,5,25.0,100000.0,50000.0,75000.0,150000.0,17,3.0,5.88,6,47.06,3217.99,80.05
Translation services,Germany,GERMANY,COMPETITIVE_OTHER,EUR,78,31,9,29.03,185000.0,1.0,1.0,1.0,12,4.0,8.33,21,14.81,617.28,79.99
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,130,100,15,15.0,393500.0,212125.0,542518.06,1000000.0,264,4.0,6.44,312,5.38,145.2,79.17
Commercial printing / print production,Canada federal,CANADA,OPEN_PUBLIC,CAD,29,12,6,50.0,,139409.89,219117.24,1373527.2349999999,0,,,7,25.0,1562.5,78.83
Website design / redesign / development,Germany,GERMANY,OPEN_PUBLIC,EUR,62,13,2,15.38,677500.0,299416.15,428460.6,1430134.75,4,7.0,0.0,8,12.5,1250.0,78.41
