micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,246,23,9,39.13,,36933.19,64584.0,95000.0,342,1.0,100.0,153,2.92,90.86,89.93
Translation services,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,332,41,16,39.02,,30000.0,45000.0,70000.0,422,1.0,100.0,211,1.41,62.69,89.03
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,65,41,13,31.71,,28605.78,38159.8,50000.0,80,1.0,100.0,57,7.41,227.1,88.75
Commercial printing / print production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,101,56,21,37.5,,29064.0,37190.35,52984.9,127,1.0,100.0,61,7.63,269.8,85.65
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,38,26,8,30.77,,29953.2,39113.84,72664.2,45,1.0,100.0,26,17.78,656.79,84.95
Market research / surveys / polling,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,144,85,27,31.76,,31500.0,39496.0,54153.2825,183,1.0,100.0,57,26.6,955.75,83.21
Media / press monitoring,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,26,15,6,40.0,,28585.877500000002,52260.715,99581.58,27,1.0,100.0,11,18.75,1230.47,81.2
Software licence renewal / licensing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,45,34,10,29.41,,31456.25,50564.2,80174.83499999999,60,1.0,100.0,38,6.67,327.78,80.49
Video production / editing / motion,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,36,24,4,16.67,,30000.0,42603.315,54181.58,50,1.0,100.0,29,10.0,464.0,78.37
Website design / redesign / development,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,60,56,4,7.14,,30500.0,39091.5,52250.0,79,1.0,100.0,37,23.46,754.46,77.06
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,145,92,20,21.74,4196813.0,16899.86,32347.83,92504.0,0,,,129,2.13,85.01,74.8
Social media / community management,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,9,5,3,60.0,,32846.25,41377.2,53799.665,11,1.0,100.0,6,27.27,2066.12,72.83
Website maintenance / hosting / support,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,21,19,2,10.53,,37674.9875,57600.0,92687.495,0,,,20,9.52,521.54,69.07
SaaS / cloud software subscription,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,24,15,3,20.0,,16047.86,30625.0,55200.0,0,,,23,8.33,451.39,67.34
Mailing / fulfilment / routing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,9,3,2,66.67,,23876.33,37891.17,56796.78,11,1.0,100.0,5,45.45,2892.56,65.02
Market research / surveys / polling,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,10,8,2,25.0,,20200.0,29400.0,43500.0,0,,,10,10.0,1000.0,63.84
SEO / digital marketing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,7,6,1,16.67,,47000.0,118000.0,196438.4,0,,,8,22.22,1358.02,60.59
SEO / digital marketing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,6,4,1,25.0,,50000.0,75000.0,99500.0,7,1.0,100.0,6,28.57,1836.73,59.92
Media / press monitoring,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,14,14,0,0.0,,14000.0,25000.0,51800.0,0,,,13,14.29,816.33,59.73
Promotional merchandise / branded goods,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,7,7,0,0.0,,34866.58,67921.48,74241.175,11,1.0,100.0,7,18.18,1570.25,56.82
Translation services,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,8,8,0,0.0,,23148.75,48000.0,129999.75,0,,,9,20.0,1200.0,56.27
Translation services,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,22,4,0,0.0,,670.8325000000001,102527.72,246914.25,3,1.0,100.0,4,25.0,2500.0,56.2
LMS / e-learning platform software,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,12,12,0,0.0,,73500.0,92200.0,200000.0,0,,,13,7.69,769.23,55.82
Website design / redesign / development,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,5,5,0,0.0,,40000.0,43824.0,60000.0,0,,,5,20.0,2000.0,51.52
