micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score,market_motion
Commercial printing / print production,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,68,36,12,33.33,6943899.0,97,40902.4,129800.0,299400.0,98,2.0,22.45,38,10.2,470.64,90.86,OPEN_BID
Transcription / speech-to-text,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,246,23,9,39.13,,343,36933.19,64584.0,95000.0,342,1.0,100.0,153,2.92,90.86,89.93,DIRECT_BUYER
Translation services,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,332,41,16,39.02,,426,30000.0,45000.0,70000.0,422,1.0,100.0,211,1.41,62.69,89.03,DIRECT_BUYER
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,65,41,13,31.71,,81,28605.78,38159.8,50000.0,80,1.0,100.0,57,7.41,227.1,88.75,DIRECT_BUYER
Commercial printing / print production,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,63,31,11,35.48,99999.0,84,25958.4,34085.0,48183.75,84,1.0,47.62,37,8.33,391.16,87.8,OTHER_ROUTE
Market research / surveys / polling,Ireland,IRELAND,OPEN_PUBLIC,EUR,30,21,7,33.33,300000.0,18,89500.0,200000.0,364425.0,19,2.0,31.58,30,19.51,869.35,86.48,OPEN_BID
Website maintenance / hosting / support,Germany,GERMANY,OPEN_PUBLIC,EUR,90,34,5,14.71,2163816.67,15,169000.0,419100.32,691349.6,26,3.0,15.38,23,8.33,451.39,86.29,OPEN_BID
Market research / surveys / polling,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,50,36,12,33.33,334399.0,50,100255.25,214812.555,424042.79,50,3.0,20.0,16,26.0,1272.0,86.08,OPEN_BID
Graphic design / DTP / visual identity,France,FRANCE,OPEN_PUBLIC,EUR,194,169,21,12.43,,20,133800.0,276100.0,450000.0,0,,,67,2.33,208.18,85.97,OPEN_BID
Commercial printing / print production,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,101,56,21,37.5,,131,29064.0,37190.35,52984.9,127,1.0,100.0,61,7.63,269.8,85.65,DIRECT_BUYER
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,38,26,8,30.77,,45,29953.2,39113.84,72664.2,45,1.0,100.0,26,17.78,656.79,84.95,DIRECT_BUYER
Commercial printing / print production,France,FRANCE,OPEN_PUBLIC,EUR,779,594,124,20.88,,127,161000.0,341666.67,730000.0,0,,,274,1.43,48.3,84.9,OPEN_BID
Translation services,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,25,17,6,35.29,,41,33975.0,45859.0,77150.0,45,2.0,28.89,31,8.89,409.88,84.9,OTHER_ROUTE
Translation services,France,FRANCE,OPEN_PUBLIC,EUR,139,117,16,13.68,,26,151000.0,220000.0,391500.0,0,,,51,3.03,269.65,84.28,OPEN_BID
Market research / surveys / polling,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,35,21,8,38.1,,49,36425.0,58292.0,72700.0,49,1.0,61.22,13,20.41,1328.61,83.86,OTHER_ROUTE
Market research / surveys / polling,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,144,85,27,31.76,,188,31500.0,39496.0,54153.2825,183,1.0,100.0,57,26.6,955.75,83.21,DIRECT_BUYER
Software licence renewal / licensing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,85,57,13,22.81,25000000.0,68,37680.75,104387.55,238769.3125,49,1.0,87.76,67,6.33,190.67,82.67,OTHER_ROUTE
Transcription / speech-to-text,France,FRANCE,OPEN_PUBLIC,EUR,58,53,5,9.43,,13,280000.0,320000.0,550000.0,0,,,12,10.0,933.33,82.42,OPEN_BID
Media / press monitoring,Ireland,IRELAND,OPEN_PUBLIC,EUR,31,20,5,25.0,100000.0,17,50000.0,75000.0,150000.0,17,3.0,5.88,6,47.06,3217.99,82.04,OPEN_BID
Website maintenance / hosting / support,France,FRANCE,OPEN_PUBLIC,EUR,121,112,8,7.14,,23,202595.17,250000.0,539070.5,0,,,15,12.5,703.13,81.97,OPEN_BID
Translation services,Canada federal,CANADA,OPEN_PUBLIC,CAD,35,26,5,19.23,,12,209741.25,326214.28,662333.4375,0,,,12,16.67,1049.38,81.5,OPEN_BID
Media / press monitoring,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,26,15,6,40.0,,32,28585.877500000002,52260.715,99581.58,27,1.0,100.0,11,18.75,1230.47,81.2,DIRECT_BUYER
Software licence renewal / licensing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,45,34,10,29.41,,60,31456.25,50564.2,80174.83499999999,60,1.0,100.0,38,6.67,327.78,80.49,DIRECT_BUYER
Promotional merchandise / branded goods,France,FRANCE,OPEN_PUBLIC,EUR,107,86,13,15.12,,19,235499.5,400000.0,764000.0,0,,,34,12.5,481.05,79.24,OPEN_BID
Website design / redesign / development,France,FRANCE,OPEN_PUBLIC,EUR,66,59,7,11.86,,4,98988.75,168695.0,538085.0,0,,,3,33.33,3333.33,79.14,OPEN_BID
Mailing / fulfilment / routing,France,FRANCE,OPEN_PUBLIC,EUR,200,171,23,13.45,,38,312500.0,530000.0,800000.0,0,,,52,4.35,228.08,78.88,OPEN_BID
Graphic design / DTP / visual identity,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,22,20,2,10.0,,30,30375.0,39804.35,59612.7875,31,1.5,48.39,23,9.68,530.7,78.73,OTHER_ROUTE
Graphic design / DTP / visual identity,France,FRANCE,COMPETITIVE_OTHER,EUR,54,49,3,6.12,,6,74750.0,99570.0,297535.0,0,,,7,14.29,1428.57,78.63,OPEN_BID
Video production / editing / motion,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,36,24,4,16.67,,50,30000.0,42603.315,54181.58,50,1.0,100.0,29,10.0,464.0,78.37,DIRECT_BUYER
SEO / digital marketing,Ireland,IRELAND,OPEN_PUBLIC,EUR,17,11,3,27.27,175000.0,5,80000.0,150000.0,170000.0,5,2.0,40.0,6,25.0,2083.33,78.19,OPEN_BID
Media / press monitoring,France,FRANCE,OPEN_PUBLIC,EUR,37,33,4,12.12,,8,101717.25,160511.0,492991.0,0,,,7,25.0,1562.5,78.08,OPEN_BID
Translation services,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,24,20,4,20.0,640199.0,63,12768.0,65280.0,146750.06,88,6.0,1.14,45,11.36,467.46,77.9,OPEN_BID
Website maintenance / hosting / support,France,FRANCE,COMPETITIVE_OTHER,EUR,59,56,3,5.36,,6,24056.5625,28769.625,41557.0,0,,,8,22.22,1358.02,77.36,OPEN_BID
Website design / redesign / development,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,60,56,4,7.14,,81,30500.0,39091.5,52250.0,79,1.0,100.0,37,23.46,754.46,77.06,DIRECT_BUYER
Website maintenance / hosting / support,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,18,16,2,12.5,,18,50753.350000000006,173493.0,389743.28,18,4.0,0.0,13,16.67,925.93,76.83,OPEN_BID
Website design / redesign / development,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,35,33,2,6.06,,39,35846.62,47829.6,57904.285,39,2.0,48.72,22,17.95,742.93,76.72,OTHER_ROUTE
Graphic design / DTP / visual identity,Germany,GERMANY,OPEN_PUBLIC,EUR,36,8,2,25.0,570000.0,9,280000.0,480000.0,999420.0,12,9.5,8.33,12,15.38,887.57,76.61,OPEN_BID
Translation services,Germany,GERMANY,OPEN_PUBLIC,EUR,170,51,6,11.76,767114.28,23,1.0,287455.34,483011.5,110,8.0,10.91,34,10.71,433.67,76.56,OPEN_BID
