micro_niche,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate,median_estimated_value,compatible_award_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,historical_spm_score
Commercial printing / print production,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,68,36,12,33.33,6943899.0,40902.4,129800.0,299400.0,98,2.0,22.45,38,10.2,470.64,90.86
Market research / surveys / polling,Ireland,IRELAND,OPEN_PUBLIC,EUR,30,21,7,33.33,300000.0,89500.0,200000.0,364425.0,19,2.0,31.58,30,19.51,869.35,86.48
Website maintenance / hosting / support,Germany,GERMANY,OPEN_PUBLIC,EUR,90,34,5,14.71,2163816.67,169000.0,419100.32,691349.6,26,3.0,15.38,23,8.33,451.39,86.29
Market research / surveys / polling,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,50,36,12,33.33,334399.0,100255.25,214812.555,424042.79,50,3.0,20.0,16,26.0,1272.0,86.08
Graphic design / DTP / visual identity,France,FRANCE,OPEN_PUBLIC,EUR,194,169,21,12.43,,133800.0,276100.0,450000.0,0,,,67,2.33,208.18,85.97
Commercial printing / print production,France,FRANCE,OPEN_PUBLIC,EUR,779,594,124,20.88,,161000.0,341666.67,730000.0,0,,,274,1.43,48.3,84.9
Translation services,France,FRANCE,OPEN_PUBLIC,EUR,139,117,16,13.68,,151000.0,220000.0,391500.0,0,,,51,3.03,269.65,84.28
Transcription / speech-to-text,France,FRANCE,OPEN_PUBLIC,EUR,58,53,5,9.43,,280000.0,320000.0,550000.0,0,,,12,10.0,933.33,82.42
Media / press monitoring,Ireland,IRELAND,OPEN_PUBLIC,EUR,31,20,5,25.0,100000.0,50000.0,75000.0,150000.0,17,3.0,5.88,6,47.06,3217.99,82.04
Website maintenance / hosting / support,France,FRANCE,OPEN_PUBLIC,EUR,121,112,8,7.14,,202595.17,250000.0,539070.5,0,,,15,12.5,703.13,81.97
Translation services,Canada federal,CANADA,OPEN_PUBLIC,CAD,35,26,5,19.23,,209741.25,326214.28,662333.4375,0,,,12,16.67,1049.38,81.5
Promotional merchandise / branded goods,France,FRANCE,OPEN_PUBLIC,EUR,107,86,13,15.12,,235499.5,400000.0,764000.0,0,,,34,12.5,481.05,79.24
Website design / redesign / development,France,FRANCE,OPEN_PUBLIC,EUR,66,59,7,11.86,,98988.75,168695.0,538085.0,0,,,3,33.33,3333.33,79.14
Mailing / fulfilment / routing,France,FRANCE,OPEN_PUBLIC,EUR,200,171,23,13.45,,312500.0,530000.0,800000.0,0,,,52,4.35,228.08,78.88
Graphic design / DTP / visual identity,France,FRANCE,COMPETITIVE_OTHER,EUR,54,49,3,6.12,,74750.0,99570.0,297535.0,0,,,7,14.29,1428.57,78.63
SEO / digital marketing,Ireland,IRELAND,OPEN_PUBLIC,EUR,17,11,3,27.27,175000.0,80000.0,150000.0,170000.0,5,2.0,40.0,6,25.0,2083.33,78.19
Media / press monitoring,France,FRANCE,OPEN_PUBLIC,EUR,37,33,4,12.12,,101717.25,160511.0,492991.0,0,,,7,25.0,1562.5,78.08
Translation services,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,24,20,4,20.0,640199.0,12768.0,65280.0,146750.06,88,6.0,1.14,45,11.36,467.46,77.9
