lane,source,country,route,currency,records,buyers,median_estimated_value,median_award_value,median_bidders,bidder_rows,single_bid_pct
Office supplies / consumables resale,France,FRANCE,OPEN_PUBLIC,EUR,1138,882,,308000.0,,0,
Recruitment / temporary staffing,France,FRANCE,OPEN_PUBLIC,EUR,302,255,,1218145.75,,0,
Office supplies / consumables resale,Ireland,IRELAND,OPEN_PUBLIC,EUR,299,225,95000.0,192000.0,3.0,98,17.35
Software licences / SaaS resale,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,219,130,16098406.5,42605.0,,0,
Recruitment / temporary staffing,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,215,144,4166666.67,230000.0,1.0,92,66.3
Recruitment / temporary staffing,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,167,142,1725000.0,999999.995,9.5,529,2.46
Software licences / SaaS resale,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,151,102,11200000.0,145768.71,1.0,89,93.26
Recruitment / temporary staffing,TED,NOR,UNKNOWN,NOK,118,2,26400000.0,19000000.0,7.0,34,11.76
Office supplies / consumables resale,France,FRANCE,COMPETITIVE_OTHER,EUR,107,98,,60000.0,,0,
Recruitment / temporary staffing,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,99,46,,49000.0,1.0,2,100.0
Software licences / SaaS resale,Canada federal,CANADA,OPEN_PUBLIC,CAD,85,12,,395329.03,,0,
Recruitment / temporary staffing,TED,NOR,UNKNOWN,UNKNOWN,76,2,,,3.0,32,3.13
Promotional merchandise,France,FRANCE,OPEN_PUBLIC,EUR,73,60,,400000.0,,0,
Software licences / SaaS resale,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,71,5,,147743.565,,0,
Training / e-learning,Germany,GERMANY,OPEN_PUBLIC,EUR,70,17,1025000.0,195835.0,5.0,11,0.0
Recruitment / temporary staffing,Ireland,IRELAND,OPEN_PUBLIC,EUR,69,50,500000.0,450000.0,10.0,39,5.13
Office supplies / consumables resale,France,FRANCE,UNKNOWN,EUR,69,65,,325000.0,,0,
Recruitment / temporary staffing,Belgium,BE,UNKNOWN,UNKNOWN,65,53,,,,0,
Training / e-learning,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,63,59,387500.0,220618.5,10.0,37,5.41
Training / e-learning,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,63,56,1366666.5,100000.0,1.0,18,88.89
Recruitment / temporary staffing,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,61,51,5936535.91,1000000.0,6.0,100,31.0
Office supplies / consumables resale,Belgium,BE,UNKNOWN,UNKNOWN,56,45,,,,0,
Office supplies / consumables resale,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,55,49,3000000.0,503248.77,9.0,102,2.94
Office supplies / consumables resale,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,52,42,6000000.0,170000.0,1.0,20,85.0
Training / e-learning,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,48,36,,49300.0,,0,
Courier / mail fulfilment,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,45,36,955000.0,353350.0,4.0,43,2.33
Software licences / SaaS resale,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,43,29,10000000000.0,36652.46,3.0,26,19.23
Software licences / SaaS resale,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,40,38,530000.0,725890.0,4.0,42,7.14
Courier / mail fulfilment,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,40,36,2200000.0,160000.0,1.0,12,91.67
Recruitment / temporary staffing,France,FRANCE,UNKNOWN,EUR,40,38,,2250000.0,,0,
Training / e-learning,Germany,GERMANY,COMPETITIVE_OTHER,EUR,39,20,6300000.0,487475.875,3.0,19,5.26
Office supplies / consumables resale,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,37,23,3018879.5,1450000.0,6.0,13,7.69
Office supplies / consumables resale,TED,NOR,UNKNOWN,NOK,35,2,15000000.0,40900000.0,3.0,6,16.67
Training / e-learning,TenderNed,NETHERLANDS,UNKNOWN,UNKNOWN,29,24,,,,0,
Software licences / SaaS resale,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,29,23,,49910.95,1.0,37,100.0
Software licences / SaaS resale,France,FRANCE,OPEN_PUBLIC,EUR,29,28,,1135000.0,,0,
Software licences / SaaS resale,Germany,GERMANY,OPEN_PUBLIC,EUR,28,9,430000.0,271318.0,3.0,12,16.67
Office supplies / consumables resale,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,28,14,,51039.875,1.0,31,100.0
Software licences / SaaS resale,TED,NOR,UNKNOWN,NOK,23,1,75000000.0,47500000.0,2.5,4,25.0
Recruitment / temporary staffing,United Kingdom,UNITED KINGDOM,FRAMEWORK_DPS_CALLOFF,GBP,23,21,13600000.0,1700000.0,,0,
Training / e-learning,Belgium,BE,UNKNOWN,UNKNOWN,22,20,,,,0,
Training / e-learning,Ireland,IRELAND,OPEN_PUBLIC,EUR,20,16,200000.0,316524.0,8.0,8,12.5
Software licences / SaaS resale,Ireland,IRELAND,OPEN_PUBLIC,EUR,18,15,850000.0,1000000.0,1.0,11,63.64
Training / e-learning,Germany,GERMANY,UNKNOWN,EUR,17,4,,,1.0,1,100.0
Office supplies / consumables resale,Canada federal,CANADA,OPEN_PUBLIC,CAD,16,9,,252549.915,,0,
Software licences / SaaS resale,Belgium,BE,UNKNOWN,UNKNOWN,16,12,,,,0,
Recruitment / temporary staffing,TED,NO,UNKNOWN,NOK,16,12,36500000.0,24000000.0,5.0,44,0.0
Courier / mail fulfilment,Canada federal,CANADA,OPEN_PUBLIC,CAD,15,9,,532908.0,,0,
Office supplies / consumables resale,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,15,9,,157997.63,2.0,8,0.0
Training / e-learning,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,15,15,,71912.785,2.5,4,0.0
Courier / mail fulfilment,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,15,15,3700000.0,2456896.5,2.0,6,0.0
Office supplies / consumables resale,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,14,12,25021356.0,1159703.3599999999,4.0,7,42.86
Training / e-learning,France,FRANCE,OPEN_PUBLIC,EUR,14,13,,946170.0,,0,
Recruitment / temporary staffing,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,14,8,,111423.5,1.0,17,100.0
Promotional merchandise,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,14,14,500000.0,488087.175,12.0,17,0.0
Training / e-learning,Canada federal,CANADA,OPEN_PUBLIC,CAD,13,9,,,,0,
Office supplies / consumables resale,TED,NOR,UNKNOWN,UNKNOWN,13,1,,,2.0,3,0.0
Training / e-learning,TenderNed,NETHERLANDS,UNKNOWN,EUR,13,11,600000.0,592980.0,,0,
Recruitment / temporary staffing,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,12,10,8000000.0,62475.0,7.0,2,50.0
Courier / mail fulfilment,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,12,8,,47400.0,,0,
Recruitment / temporary staffing,France,FRANCE,COMPETITIVE_OTHER,EUR,12,11,,1500000.0,,0,
Training / e-learning,TED,SWE,UNKNOWN,SEK,12,1,6000000.0,5800000.0,5.5,6,16.67
Office supplies / consumables resale,Ireland,IRELAND,FRAMEWORK_DPS_CALLOFF,EUR,10,5,6250000.0,6250000.0,7.5,10,10.0
Software licences / SaaS resale,Canada federal,CANADA,DIRECT_NONCOMPETITIVE,CAD,10,7,,,,0,
Event support / production,United Kingdom,UNITED KINGDOM,OPEN_PUBLIC,GBP,9,9,317573.0,497267.0,2.0,6,33.33
Office supplies / consumables resale,TED,MLT,UNKNOWN,EUR,9,2,103136.1,132826.58000000002,,0,
Courier / mail fulfilment,Ireland,IRELAND,OPEN_PUBLIC,EUR,9,7,160000.0,160000.0,2.0,7,42.86
Training / e-learning,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,8,5,413000.0,1.0,1.0,5,80.0
Software licences / SaaS resale,Germany,GERMANY,DIRECT_NONCOMPETITIVE,EUR,8,6,5472876.53,568000.0,1.0,5,100.0
Software licences / SaaS resale,TED,NOR,UNKNOWN,UNKNOWN,8,1,,,2.0,1,0.0
Training / e-learning,TED,ESP,UNKNOWN,EUR,7,1,700000.0,656825.0,3.0,5,60.0
Promotional merchandise,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,7,4,,24657.0,3.0,36,47.22
Promotional merchandise,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,7,7,,67921.48,1.0,11,100.0
Recruitment / temporary staffing,TED,POL,UNKNOWN,UNKNOWN,6,1,,,2.0,1,0.0
Recruitment / temporary staffing,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,6,2,334399.0,187920.0,6.0,3,0.0
Recruitment / temporary staffing,TED,NO,UNKNOWN,UNKNOWN,6,4,,,6.0,1,0.0
Recruitment / temporary staffing,Canada federal,CANADA,OPEN_PUBLIC,CAD,6,5,,1181216.67,,0,
Office supplies / consumables resale,United Kingdom,UNITED KINGDOM,DIRECT_NONCOMPETITIVE,GBP,5,5,,40000.0,,0,
Promotional merchandise,Canada federal,CANADA,OPEN_PUBLIC,CAD,5,3,,186098.54,,0,
Promotional merchandise,United Kingdom,UNITED KINGDOM,UNKNOWN,GBP,5,5,,658500.0,4.0,4,50.0
Promotional merchandise,Canada federal,CANADA,COMPETITIVE_OTHER,CAD,5,1,,194083.15,,0,
Event support / production,United Kingdom,UNITED KINGDOM,COMPETITIVE_OTHER,GBP,5,4,,22144.7,9.5,14,0.0
Software licences / SaaS resale,Germany,GERMANY,UNKNOWN,EUR,5,0,,,,0,
Promotional merchandise,Ireland,IRELAND,OPEN_PUBLIC,EUR,5,5,750000.0,500000.0,10.0,3,0.0
Training / e-learning,Quebec,CANADA - QUEBEC,DIRECT_NONCOMPETITIVE,CAD,5,5,,78000.0,1.0,6,100.0
Training / e-learning,Ireland,IRELAND,COMPETITIVE_OTHER,EUR,4,4,225000.0,770550.0,12.0,1,0.0
Training / e-learning,TED,POL,UNKNOWN,UNKNOWN,4,1,,,1.0,4,100.0
Training / e-learning,TED,NOR,UNKNOWN,NOK,4,1,5150000.0,2800000.0,,0,
Office supplies / consumables resale,Quebec,CANADA - QUEBEC,LIMITED_INVITATION,CAD,4,3,,43075.61,2.0,6,16.67
