sub_niche,parent_lane,warehouse_source,country,route,currency,records,buyers,repeat_buyers,repeat_buyer_rate_pct,median_estimated_value,award_value_rows,p25_award_value,median_award_value,p75_award_value,bidder_rows,median_bidders,single_bid_pct,supplier_count,top_supplier_share_pct,hhi,ai_leverage_1_5,subcontractability_1_5,delivery_gate_risk_1_5,working_capital_risk_1_5,ticket_fit_1_5,competition_fit_1_5,recurrence_fit_1_5,fragmentation_fit_1_5,spm_hunt_score,market_motion
DE · Website maintenance / support,WEB_DIGITAL,Germany,GERMANY,OPEN_PUBLIC,EUR,123,42,7,16.67,2905408.335,23,111500.0,393000.0,1094960.0,30,3.5,13.33,37,4.76,294.78,5.0,3.0,2.5,1.0,5.0,3.6666666666666665,3.0,5.0,81.91,OPEN_HUNT
FR · General graphic design,CREATIVE,France,FRANCE,OPEN_PUBLIC,EUR,104,87,12,13.79,,11,129200.0,200000.0,235000.0,0,,,27,5.26,484.1,5.0,3.5,2.0,1.0,5.0,3.0,2.655172413793103,4.973684210526316,81.83,OPEN_HUNT
FR · Human interpreting,LANGUAGE,France,FRANCE,OPEN_PUBLIC,EUR,150,119,21,17.65,,24,56291.979999999996,363000.0,1185800.0,0,,,50,2.86,255.59,4.5,4.0,4.0,1.5,5.0,3.0,3.1176470588235294,5.0,81.27,OPEN_HUNT
FR · Website maintenance / hosting / support,WEB_DIGITAL,France,FRANCE,OPEN_PUBLIC,EUR,111,103,7,6.8,,20,203391.0,260000.0,516867.25,0,,,13,7.69,769.23,5.0,3.0,2.5,1.0,5.0,3.0,1.8155339805825244,4.730769230769231,78.32,OPEN_HUNT
FR · Written translation,LANGUAGE,France,FRANCE,OPEN_PUBLIC,EUR,63,59,4,6.78,,12,157000.0,190000.0,257500.0,0,,,22,6.67,600.0,4.5,4.0,2.0,1.5,5.0,3.0,1.8135593220338984,4.833333333333333,78.25,OPEN_HUNT
FR · Publication layout / DTP,CREATIVE,France,FRANCE,OPEN_PUBLIC,EUR,45,41,4,9.76,,6,59508.5,98267.0,203000.0,0,,,13,10.0,925.0,5.0,3.5,2.0,1.0,5.0,3.0,2.1707317073170733,4.5,78.01,OPEN_HUNT
CA · Written translation,LANGUAGE,Canada federal,CANADA,OPEN_PUBLIC,CAD,37,27,6,22.22,,12,209741.25,326214.28,662333.4375,0,,,11,22.22,1234.57,4.5,4.0,2.0,1.5,5.0,3.0,3.6666666666666665,3.2777777777777777,77.02,OPEN_HUNT
QC · General commercial print production,OTHER,Quebec,CANADA - QUEBEC,OPEN_PUBLIC,CAD,43,26,9,34.62,,64,23801.907499999998,129800.0,289690.4,65,2.0,26.15,29,13.85,650.89,2.5,2.5,2.0,1.0,5.0,4.666666666666667,5.0,4.115384615384615,76.44,OPEN_HUNT
FR · Meeting / debate transcription,LANGUAGE,France,FRANCE,OPEN_PUBLIC,EUR,45,42,3,7.14,,11,280000.0,408000.0,557175.0,0,,,9,14.29,1292.52,4.5,4.0,2.0,1.5,5.0,3.0,1.8571428571428572,4.071428571428571,76.21,OPEN_HUNT
FR · Communication collateral printing,PRINT_BROKER,France,FRANCE,OPEN_PUBLIC,EUR,408,343,54,15.74,,57,120000.0,240000.0,600000.0,0,,,149,1.09,86.2,2.0,5.0,3.0,4.0,5.0,3.0,2.8892128279883385,5.0,76.12,OPEN_HUNT
FR · Website redesign / development,WEB_DIGITAL,France,FRANCE,OPEN_PUBLIC,EUR,70,61,9,14.75,,8,100886.25,202595.17,240750.0,0,,,6,28.57,1836.73,5.0,3.0,2.5,1.0,5.0,3.0,2.7704918032786887,2.6428571428571432,75.82,OPEN_HUNT
FR · General commercial print production,OTHER,France,FRANCE,OPEN_PUBLIC,EUR,557,445,78,17.53,,93,160000.0,380000.0,720000.0,0,,,221,1.24,59.89,2.5,2.5,2.0,1.0,5.0,3.0,3.103370786516854,5.0,75.61,OPEN_HUNT
FR · Mailing / routing / fulfilment,PRINT_BROKER,France,FRANCE,OPEN_PUBLIC,EUR,219,185,27,14.59,,41,278850.0,500000.0,800000.0,0,,,57,3.85,208.07,2.0,5.0,3.0,4.0,5.0,3.0,2.7513513513513512,5.0,75.32,OPEN_HUNT
CA · Interpretation / sign-language services,LANGUAGE,Canada federal,CANADA,OPEN_PUBLIC,CAD,34,23,4,17.39,,13,72500.0,164530.8,301800.4,0,,,52,10.17,267.16,4.5,4.0,4.0,1.5,5.0,3.0,3.0869565217391304,4.483050847457627,74.64,OPEN_HUNT
FR · Website maintenance / hosting / support,WEB_DIGITAL,France,FRANCE,COMPETITIVE_OTHER,EUR,57,54,3,5.56,,6,24056.5625,28769.625,41557.0,0,,,8,22.22,1358.02,5.0,3.0,2.5,1.0,5.0,3.0,1.6666666666666665,3.2777777777777777,74.11,OPEN_HUNT
DE · Website relaunch / development,WEB_DIGITAL,Germany,GERMANY,COMPETITIVE_OTHER,EUR,37,20,2,10.0,255000.0,6,5303.25,152464.0,358929.5,9,3.0,11.11,11,9.09,909.09,5.0,3.0,2.5,1.0,5.0,3.0,2.2,4.590909090909091,74.01,OPEN_HUNT
